team_name,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_fg2,opp_fg2a,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
San Antonio Spurs,37.2,83.1,8.4,24.7,28.8,58.4,16.6,21.3,.780,9.6,31.4,41.0,21.3,7.5,4.1,14.2,19.9,99.3
Utah Jazz,35.9,82.5,8.1,22.7,27.8,59.9,15.6,20.3,.767,9.6,31.2,40.8,17.7,7.0,3.5,12.1,20.6,95.5
Dallas Mavericks,36.4,77.5,9.6,24.4,26.8,53.1,17.7,23.0,.770,8.6,35.5,44.1,20.5,6.3,3.4,15.3,19.3,100.1
Detroit Pistons,37.7,82.4,9.2,24.6,28.5,57.8,17.3,22.1,.781,8.4,34.2,42.6,23.2,7.0,4.3,12.8,17.2,101.9
Milwaukee Bucks,38.0,84.4,10.7,29.8,27.3,54.6,18.0,23.2,.776,10.5,32.1,42.7,24.4,7.5,5.3,14.5,19.5,104.6
Cleveland Cavaliers,39.9,87.9,10.2,28.5,29.7,59.4,15.1,19.5,.775,10.8,33.1,44.0,24.1,7.6,4.9,13.7,21.6,105.0
Washington Wizards,38.7,84.1,9.9,27.3,28.8,56.8,17.7,23.7,.748,10.3,31.9,42.2,22.9,7.6,4.3,15.6,19.4,105.0
Charlotte Hornets,39.2,87.8,10.9,30.6,28.3,57.2,14.4,18.5,.779,9.2,35.2,44.3,23.8,6.9,6.0,12.6,20.3,103.6
Memphis Grizzlies,34.3,78.5,9.6,28.2,24.7,50.3,21.3,28.5,.746,8.9,33.5,42.4,19.6,6.7,5.2,14.6,21.1,99.5
Chicago Bulls,39.4,86.1,8.7,24.0,30.7,62.1,14.1,18.5,.760,10.3,32.4,42.7,23.9,7.4,4.9,13.2,19.3,101.6
Philadelphia 76ers,38.8,85.5,9.2,25.5,29.6,60.0,19.1,25.3,.754,10.8,33.8,44.6,22.1,8.4,5.0,14.8,20.1,106.0
Los Angeles Clippers,38.3,85.4,8.8,25.1,29.5,60.2,18.5,24.1,.767,10.2,32.9,43.1,22.4,7.2,3.4,13.4,22.2,103.9
Atlanta Hawks,39.3,87.4,10.3,28.5,29.0,58.9,15.2,19.7,.770,10.8,33.3,44.1,22.5,8.9,5.1,15.6,21.2,104.0
Miami Heat,38.2,85.1,8.2,23.7,30.0,61.4,17.5,22.5,.779,10.2,34.5,44.7,20.4,6.5,5.2,13.3,18.8,102.1
Indiana Pacers,38.7,85.9,10.3,29.6,28.4,56.3,19.0,24.0,.791,11.2,34.2,45.4,23.1,8.4,5.3,15.5,20.3,106.6
Toronto Raptors,38.0,83.3,9.9,27.4,28.1,56.0,18.7,24.0,.780,10.6,32.6,43.2,22.3,6.3,4.6,15.6,20.7,104.6
Minnesota Timberwolves,38.7,82.4,9.3,26.0,29.4,56.4,18.1,23.4,.774,9.3,31.0,40.2,22.1,7.9,5.1,14.3,20.9,104.7
Golden State Warriors,39.0,90.0,9.2,28.7,29.8,61.3,17.5,23.1,.759,11.4,31.5,43.0,22.1,8.9,3.8,15.1,20.3,104.8
Oklahoma City Thunder,39.3,86.6,8.8,25.1,30.5,61.5,17.7,23.6,.752,9.9,31.8,41.7,21.8,8.4,5.2,13.8,20.9,105.2
Boston Celtics,38.7,85.5,9.2,26.5,29.5,59.1,19.1,24.9,.769,11.0,33.9,44.9,23.0,7.3,5.3,14.1,19.6,105.7
Sacramento Kings,37.9,81.5,10.9,29.1,27.0,52.4,19.4,24.9,.780,10.0,32.2,42.3,23.3,8.3,5.5,14.7,21.5,106.1
New Orleans Pelicans,39.9,89.6,10.7,29.9,29.2,59.8,15.8,20.4,.772,10.5,38.6,49.1,23.7,7.4,4.7,13.6,19.1,106.2
Denver Nuggets,41.7,88.3,9.3,25.3,32.3,63.0,18.4,23.3,.789,9.3,30.9,40.2,23.8,8.4,5.0,11.8,21.3,111.1
Orlando Magic,39.8,85.9,9.3,25.8,30.4,60.1,16.8,22.0,.765,9.8,35.5,45.3,22.7,7.4,5.2,13.0,18.6,105.6
New York Knicks,39.6,88.0,9.7,27.7,29.9,60.3,19.9,25.3,.784,11.3,33.1,44.4,22.6,7.8,4.7,12.9,18.2,108.8
Phoenix Suns,40.0,85.1,10.0,25.6,30.0,59.5,22.1,28.1,.788,9.9,33.1,43.1,22.3,7.9,5.5,15.5,21.7,112.1
Portland Trail Blazers,39.3,86.4,10.0,26.3,29.3,60.1,21.7,27.3,.794,10.5,34.5,45.1,21.4,8.1,5.3,13.5,19.6,110.2
Los Angeles Lakers,41.2,86.1,10.0,27.5,31.2,58.6,17.7,23.5,.754,10.4,34.0,44.4,24.9,8.5,5.4,13.8,18.7,110.1
Brooklyn Nets,42.9,91.9,10.6,28.5,32.3,63.4,18.6,24.3,.769,11.1,36.4,47.5,23.4,9.8,6.0,13.2,20.1,115.0
Houston Rockets,40.4,87.3,10.1,28.1,30.3,59.2,17.7,22.6,.781,10.2,32.3,42.5,22.9,8.8,4.9,15.0,20.1,108.5
