team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Houston Rockets,40.8,86.8,15.0,39.6,25.8,47.2,18.1,24.0,.755,11.2,33.8,44.9,25.8,8.0,4.7,15.7,19.8,114.6
Golden State Warriors,43.5,87.3,11.8,31.0,31.7,56.3,18.6,23.4,.795,9.1,36.0,45.1,31.2,9.4,6.2,15.1,19.6,117.5
Los Angeles Clippers,39.0,83.8,10.2,27.1,28.8,56.7,20.0,26.3,.758,9.4,34.2,43.6,22.0,7.8,4.8,13.4,20.7,108.2
Portland Trail Blazers,39.2,85.4,10.4,28.7,28.8,56.8,19.0,24.3,.782,9.4,32.6,42.0,21.9,7.1,4.8,13.8,22.5,107.8
Los Angeles Lakers,38.5,86.3,9.3,26.0,29.2,60.4,18.3,23.8,.771,11.7,32.0,43.7,20.6,8.1,3.5,15.5,20.5,104.6
Oklahoma City Thunder,39.5,86.4,8.5,25.8,31.0,60.6,18.9,25.8,.731,11.3,34.3,45.6,21.4,7.5,5.1,14.9,20.6,106.5
Charlotte Hornets,38.0,85.9,9.5,26.8,28.5,59.2,20.3,26.0,.781,9.4,36.1,45.5,23.5,6.6,5.3,11.8,16.9,105.8
Phoenix Suns,39.1,88.4,8.1,23.6,31.0,64.8,19.3,25.3,.765,12.0,33.4,45.3,18.3,8.7,4.4,16.1,25.2,105.6
Indiana Pacers,39.2,85.5,8.2,22.6,31.0,63.0,18.7,22.9,.816,8.5,33.8,42.3,22.4,8.3,5.7,13.8,19.4,105.4
Denver Nuggets,39.5,87.3,9.7,27.1,29.8,60.1,19.4,25.7,.755,12.3,34.6,47.0,23.3,6.6,4.0,15.3,20.8,108.1
Toronto Raptors,39.9,85.3,9.5,24.3,30.4,61.0,20.9,25.8,.808,11.3,31.4,42.7,19.2,9.2,4.8,11.9,20.9,110.0
San Antonio Spurs,39.4,82.3,9.2,22.1,30.2,60.1,18.2,22.2,.820,9.6,33.7,43.3,24.1,8.0,5.8,13.1,18.1,106.1
Detroit Pistons,38.8,86.4,7.7,22.6,31.1,63.8,14.3,19.1,.747,10.1,34.1,44.2,21.3,6.8,3.8,11.9,17.8,99.6
New Orleans Pelicans,38.0,87.1,9.1,25.8,28.9,61.4,17.1,22.6,.755,8.6,36.1,44.7,22.9,7.4,5.9,12.8,18.4,102.1
Memphis Grizzlies,35.6,84.1,8.9,25.7,26.7,58.4,18.8,24.0,.785,10.6,32.8,43.4,20.5,8.5,4.9,13.0,23.9,98.8
Cleveland Cavaliers,38.9,85.3,12.9,33.0,26.0,52.2,19.0,25.0,.760,10.4,34.1,44.5,22.1,7.3,4.1,13.6,18.0,109.8
Boston Celtics,38.9,85.8,11.4,31.6,27.5,54.2,17.3,21.5,.805,9.2,31.8,41.0,25.1,7.7,4.4,12.4,20.7,106.4
Atlanta Hawks,38.8,85.2,8.7,25.8,30.1,59.3,16.2,22.6,.718,10.5,33.6,44.1,24.1,8.7,5.1,15.9,17.8,102.4
New York Knicks,39.7,89.8,9.1,25.2,30.7,64.6,16.8,21.4,.785,12.3,34.0,46.3,21.6,7.3,5.8,14.1,21.0,105.3
Orlando Magic,38.0,86.3,8.9,26.5,29.0,59.9,14.3,20.0,.715,9.7,33.0,42.7,22.2,6.6,5.7,12.8,18.5,99.2
Utah Jazz,36.0,77.4,9.6,26.1,26.4,51.2,17.3,22.7,.762,8.4,34.0,42.4,19.0,6.1,5.1,13.8,19.2,99.0
Chicago Bulls,37.8,86.6,6.3,20.2,31.5,66.4,19.3,24.0,.803,13.7,33.8,47.4,21.0,7.7,5.4,13.5,17.5,101.2
Miami Heat,37.8,85.8,8.7,25.1,29.1,60.7,14.2,21.2,.672,11.0,33.4,44.4,21.1,6.8,5.7,13.4,20.4,98.4
Minnesota Timberwolves,38.1,84.3,8.3,23.5,29.9,60.7,18.9,24.1,.784,12.0,30.9,42.9,22.3,7.6,4.7,14.8,20.8,103.3
Brooklyn Nets,37.5,85.4,11.1,32.9,26.4,52.4,19.4,24.9,.780,9.2,34.9,44.1,20.8,7.5,4.6,17.1,20.6,105.6
Sacramento Kings,37.4,83.0,8.7,24.6,28.7,58.4,18.8,24.1,.778,9.3,31.3,40.6,21.7,8.0,4.0,13.9,20.5,102.3
Washington Wizards,40.2,85.9,8.0,22.7,32.2,63.2,16.9,21.7,.776,10.1,31.9,41.9,22.7,8.7,3.9,14.5,21.7,105.2
Milwaukee Bucks,39.7,83.7,8.6,23.9,31.1,59.8,17.0,22.5,.755,9.3,33.9,43.2,24.6,7.9,5.4,13.7,19.9,104.9
Dallas Mavericks,35.4,82.0,10.5,30.0,24.9,52.0,14.4,18.0,.799,8.6,29.9,38.4,19.6,7.9,3.8,12.3,19.0,95.6
Philadelphia 76ers,36.6,84.4,10.6,29.8,26.1,54.5,15.0,20.1,.748,9.6,33.4,43.1,22.4,7.7,5.6,16.9,22.1,98.8
