team_name,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.2,30,6,12.44,-0.69,11.76,116.3,104.0,100.5,.268,.355,.602,.566,13.4,22.3,.213,.482,12.9,74.9,.203
San Antonio Spurs,29.8,27,9,8.25,-0.02,8.23,113.2,104.4,93.5,.270,.269,.577,.534,12.5,23.6,.222,.496,13.2,78.0,.193
Houston Rockets,27.3,27,10,7.70,-0.28,7.42,115.6,107.8,98.4,.277,.456,.589,.556,13.9,26.0,.209,.508,12.9,76.2,.203
Toronto Raptors,26.1,25,10,6.89,0.37,7.26,115.5,108.3,95.0,.303,.285,.569,.523,10.9,25.8,.245,.514,14.5,73.7,.209
Cleveland Cavaliers,29.1,24,10,6.74,0.22,6.95,113.9,106.9,96.1,.293,.387,.570,.532,12.4,24.3,.223,.505,12.3,75.9,.168
Los Angeles Clippers,30.1,25,13,5.21,-0.54,4.67,111.7,106.3,96.4,.314,.323,.567,.527,12.3,22.3,.238,.495,12.7,76.5,.222
Utah Jazz,26.4,23,14,3.70,-0.30,3.41,108.8,104.8,90.9,.294,.338,.567,.528,13.6,21.6,.224,.480,11.3,76.8,.187
Milwaukee Bucks,25.5,20,14,2.50,-0.16,2.34,109.4,106.8,95.3,.268,.286,.560,.525,12.7,22.4,.203,.498,12.8,76.2,.210
Boston Celtics,25.9,20,15,2.14,0.11,2.25,110.7,108.5,95.8,.250,.368,.559,.519,11.5,21.2,.202,.503,13.1,73.8,.225
Charlotte Hornets,26.7,21,16,2.22,-0.62,1.59,108.5,106.2,96.7,.303,.311,.543,.497,10.8,20.9,.236,.504,11.5,79.3,.161
Oklahoma City Thunder,24.6,20,17,1.19,-0.15,1.04,108.1,106.9,97.4,.299,.299,.545,.507,13.2,26.5,.218,.507,12.5,78.0,.207
Detroit Pistons,25.6,19,19,-0.03,0.32,0.30,106.0,106.0,94.0,.221,.262,.525,.494,11.1,22.8,.165,.504,11.9,80.5,.205
Memphis Grizzlies,28.6,19,19,0.26,-0.02,0.24,104.6,104.3,92.7,.286,.306,.522,.476,12.1,23.9,.224,.495,14.2,78.6,.265
Chicago Bulls,27.7,19,17,0.44,-0.51,-0.06,107.3,106.9,94.2,.277,.233,.520,.473,12.2,30.0,.222,.503,12.2,75.7,.164
Atlanta Hawks,28.3,17,19,-0.89,-0.26,-1.14,104.4,105.3,97.6,.265,.303,.539,.506,14.3,24.3,.190,.508,14.0,76.5,.172
Washington Wizards,26.1,16,18,-0.97,-0.19,-1.16,107.7,108.6,96.8,.253,.264,.551,.514,13.2,23.7,.196,.529,14.5,76.4,.214
Minnesota Timberwolves,23.6,16,19,-1.63,-0.09,-1.72,108.7,110.4,94.5,.286,.279,.545,.501,13.5,27.8,.224,.527,13.5,76.6,.226
Indiana Pacers,27.1,18,19,-0.78,-1.06,-1.85,106.8,107.6,97.5,.268,.264,.551,.506,12.6,19.6,.219,.504,13.5,74.4,.211
Portland Trail Blazers,25.1,15,23,-3.37,0.98,-2.39,109.6,113.1,97.5,.284,.335,.561,.520,12.5,21.5,.222,.515,11.8,75.6,.260
Sacramento Kings,28.9,15,20,-2.31,-0.32,-2.63,107.4,109.8,94.4,.291,.297,.546,.503,12.9,21.9,.226,.527,14.1,75.9,.236
Denver Nuggets,25.2,15,21,-2.86,0.16,-2.70,109.8,112.7,97.5,.295,.311,.548,.508,13.4,28.1,.223,.526,10.5,79.1,.217
New Orleans Pelicans,25.5,14,23,-3.27,0.54,-2.73,102.7,106.0,97.7,.259,.296,.526,.488,11.7,18.1,.196,.500,12.0,77.7,.175
New York Knicks,27.5,14,21,-3.03,0.15,-2.88,107.5,110.6,97.1,.238,.280,.531,.493,12.5,26.8,.187,.506,11.8,74.6,.228
Miami Heat,26.2,14,23,-3.38,0.17,-3.21,103.3,106.9,94.5,.247,.292,.518,.491,12.4,24.2,.166,.496,12.2,76.5,.204
Dallas Mavericks,27.6,12,24,-5.17,1.43,-3.74,104.0,109.6,91.4,.220,.366,.531,.495,12.0,19.4,.175,.538,14.9,78.1,.226
Los Angeles Lakers,26.0,13,26,-5.74,0.67,-5.07,106.8,112.7,98.0,.275,.301,.541,.500,13.8,25.8,.212,.539,12.9,75.5,.209
Orlando Magic,25.6,13,24,-4.43,-0.72,-5.15,103.6,108.2,95.2,.232,.307,.521,.492,11.8,21.5,.166,.508,11.9,76.6,.193
Phoenix Suns,25.9,12,25,-6.08,0.44,-5.64,104.1,110.1,100.0,.286,.267,.531,.488,14.0,26.0,.219,.522,14.0,77.4,.262
Philadelphia 76ers,25.1,9,24,-7.21,-0.42,-7.63,100.9,108.3,96.7,.238,.354,.530,.497,15.3,21.8,.178,.507,12.7,75.5,.222
Brooklyn Nets,26.5,8,26,-8.65,0.63,-8.01,103.4,111.9,101.5,.292,.386,.548,.505,15.1,20.2,.227,.520,11.9,75.0,.200
