team_name,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,pct_fg2_layup,fg2_layup,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,.452,13.1,.693,.323,.119,.096,.156,.307,.502,.622,.350,.400,.429,.340,.537,.055,249,.278,755,.887,.233,.406,8,0
Boston Celtics,.455,14.2,.611,.292,.134,.074,.110,.389,.511,.639,.377,.407,.403,.368,.554,.030,142,.273,811,.835,.217,.439,14,0
Brooklyn Nets,.442,13.2,.624,.310,.177,.071,.066,.376,.505,.610,.429,.381,.350,.339,.449,.033,151,.303,845,.850,.233,.356,14,0
Chicago Bulls,.442,12.6,.762,.279,.172,.126,.185,.238,.478,.590,.465,.397,.378,.324,.499,.040,188,.255,708,.868,.279,.401,7,0
Charlotte Hornets,.438,13.7,.669,.284,.140,.096,.149,.331,.480,.605,.390,.395,.384,.352,.555,.034,158,.257,726,.789,.142,.388,14,0
Cleveland Cavaliers,.466,14.3,.605,.288,.112,.096,.109,.395,.516,.657,.332,.424,.414,.390,.435,.055,245,.240,682,.830,.294,.429,6,0
Dallas Mavericks,.441,15.3,.636,.199,.128,.118,.191,.364,.490,.635,.451,.446,.392,.357,.448,.035,149,.167,458,.822,.197,.379,10,0
Denver Nuggets,.462,12.7,.681,.331,.158,.079,.113,.319,.504,.610,.432,.370,.391,.370,.517,.050,231,.287,824,.876,.203,.384,14,0
Detroit Pistons,.454,13.0,.735,.247,.198,.135,.155,.265,.496,.642,.397,.455,.424,.338,.460,.043,200,.208,628,.835,.206,.387,25,1
Golden State Warriors,.500,14.2,.640,.295,.105,.109,.132,.360,.562,.696,.423,.448,.464,.389,.662,.075,363,.229,705,.827,.202,.396,23,1
Houston Rockets,.466,14.6,.537,.309,.131,.042,.055,.463,.553,.676,.388,.368,.400,.365,.548,.074,347,.261,819,.781,.204,.408,11,0
Indiana Pacers,.465,13.4,.734,.231,.195,.111,.196,.266,.500,.615,.480,.431,.423,.370,.500,.036,162,.229,650,.849,.249,.416,14,1
Los Angeles Clippers,.467,14.2,.673,.278,.121,.081,.194,.327,.510,.650,.379,.415,.430,.377,.493,.067,297,.225,633,.790,.203,.410,11,0
Los Angeles Lakers,.444,12.9,.696,.281,.187,.107,.122,.304,.484,.625,.387,.390,.392,.350,.455,.052,244,.234,683,.775,.226,.388,9,1
Memphis Grizzlies,.432,13.4,.689,.286,.159,.096,.148,.311,.468,.577,.419,.388,.359,.352,.492,.031,137,.267,721,.815,.188,.420,21,0
Miami Heat,.452,13.0,.694,.289,.167,.093,.146,.306,.493,.619,.410,.391,.401,.360,.439,.050,235,.240,662,.899,.313,.398,11,0
Milwaukee Bucks,.478,11.5,.723,.366,.172,.077,.109,.277,.519,.642,.398,.378,.401,.370,.542,.079,341,.289,764,.915,.279,.377,9,0
Minnesota Timberwolves,.467,12.6,.738,.299,.164,.094,.181,.263,.508,.640,.436,.404,.409,.350,.531,.058,272,.245,691,.866,.268,.395,6,0
New Orleans Pelicans,.445,13.4,.695,.276,.170,.099,.149,.305,.486,.616,.409,.414,.380,.352,.505,.045,217,.243,704,.828,.217,.382,7,0
New York Knicks,.448,13.3,.715,.292,.120,.134,.170,.285,.483,.584,.376,.444,.414,.360,.456,.040,191,.257,718,.838,.232,.441,19,0
Oklahoma City Thunder,.450,12.1,.703,.347,.143,.106,.107,.297,.504,.617,.406,.399,.375,.322,.465,.065,302,.284,807,.793,.266,.343,14,1
Orlando Magic,.440,13.5,.702,.260,.169,.114,.160,.298,.487,.620,.420,.440,.373,.330,.496,.038,181,.228,659,.874,.180,.292,19,0
Philadelphia 76ers,.439,13.4,.653,.297,.149,.099,.109,.347,.488,.635,.374,.366,.357,.347,.538,.041,182,.263,754,.872,.158,.405,7,0
Phoenix Suns,.448,12.5,.737,.313,.153,.110,.161,.263,.486,.615,.405,.388,.378,.344,.400,.056,252,.264,764,.793,.300,.335,14,0
Portland Trail Blazers,.454,13.6,.675,.287,.143,.093,.151,.325,.498,.598,.412,.433,.429,.362,.460,.047,214,.240,649,.809,.204,.368,13,0
Sacramento Kings,.456,13.2,.692,.269,.191,.080,.152,.308,.497,.641,.430,.379,.387,.365,.508,.046,200,.266,756,.897,.244,.407,16,0
San Antonio Spurs,.475,13.4,.729,.255,.164,.113,.198,.271,.503,.647,.420,.401,.442,.400,.526,.049,211,.216,607,.878,.272,.427,9,0
Toronto Raptors,.466,13.2,.710,.255,.186,.119,.150,.290,.505,.630,.454,.440,.405,.370,.377,.046,211,.229,639,.775,.252,.383,10,1
Utah Jazz,.464,13.3,.668,.288,.152,.103,.125,.332,.514,.657,.420,.443,.360,.365,.443,.067,287,.226,603,.794,.268,.364,10,1
Washington Wizards,.476,13.1,.724,.295,.138,.112,.178,.276,.515,.636,.423,.436,.436,.373,.493,.044,195,.258,752,.850,.266,.348,7,0
