team_name,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.0,49,9,48,10,12.84,-0.46,12.39,116.5,103.9,100.7,.268,.360,.604,.570,13.1,21.8,.212,.487,13.3,75.8,.201
San Antonio Spurs,29.6,45,13,44,14,8.57,-0.60,7.97,112.5,103.5,94.7,.275,.271,.571,.529,12.4,23.8,.223,.492,13.6,78.1,.200
Houston Rockets,27.4,42,18,42,18,6.93,-0.29,6.64,115.0,108.0,99.5,.294,.463,.586,.550,13.5,24.5,.224,.517,13.7,75.9,.201
Cleveland Cavaliers,29.0,40,17,38,19,5.14,-0.51,4.63,114.1,108.8,96.8,.286,.395,.579,.543,12.6,23.0,.216,.513,12.1,75.5,.169
Utah Jazz,26.7,37,22,39,20,4.80,-0.26,4.54,109.3,104.1,91.5,.302,.332,.564,.525,13.4,22.7,.228,.488,12.0,78.9,.192
Toronto Raptors,26.1,35,24,38,21,4.27,-0.29,3.98,113.5,109.0,95.1,.298,.290,.565,.519,11.3,24.6,.239,.514,13.8,75.6,.229
Los Angeles Clippers,30.0,36,23,36,23,3.36,0.22,3.58,111.6,108.1,96.4,.304,.327,.566,.529,12.1,22.1,.227,.502,12.3,76.6,.219
Boston Celtics,25.9,38,21,34,25,2.59,-0.03,2.57,111.8,109.2,96.2,.263,.389,.568,.527,11.9,21.0,.215,.507,12.7,74.8,.224
Memphis Grizzlies,29.3,35,25,33,27,1.20,0.53,1.73,107.0,105.7,92.8,.291,.311,.533,.487,12.1,24.8,.229,.498,13.9,78.0,.265
Washington Wizards,25.9,34,23,33,24,2.39,-0.84,1.54,110.2,107.7,97.0,.246,.276,.562,.527,13.0,23.9,.192,.515,14.1,75.4,.214
Oklahoma City Thunder,24.5,34,25,30,29,0.32,0.39,0.71,107.6,107.2,98.0,.296,.297,.538,.498,13.3,27.3,.220,.508,12.4,78.2,.212
Charlotte Hornets,26.7,25,34,30,29,0.32,0.10,0.42,107.5,107.1,96.6,.284,.331,.544,.496,11.2,19.9,.231,.510,11.7,79.7,.165
Detroit Pistons,25.4,28,31,29,30,-0.42,0.15,-0.27,106.3,106.7,94.9,.222,.265,.528,.499,11.4,23.1,.163,.511,12.1,80.9,.207
Milwaukee Bucks,25.5,26,31,29,28,0.09,-0.44,-0.35,109.8,109.7,95.5,.287,.277,.567,.529,13.3,22.4,.218,.517,13.6,75.0,.221
Chicago Bulls,27.4,30,29,29,30,-0.22,-0.33,-0.56,107.8,108.0,94.9,.282,.238,.527,.480,12.0,28.2,.225,.515,12.3,77.2,.166
Miami Heat,26.4,27,32,29,30,-0.36,-0.20,-0.56,106.1,106.5,95.4,.251,.306,.535,.507,12.5,23.5,.175,.494,12.3,76.6,.217
Minnesota Timberwolves,23.8,23,36,28,31,-0.85,0.19,-0.66,110.3,111.2,94.7,.285,.263,.555,.513,13.2,27.2,.225,.530,13.2,76.4,.215
Denver Nuggets,25.3,26,33,27,32,-1.17,0.23,-0.94,112.1,113.2,98.1,.282,.319,.558,.521,13.4,28.9,.214,.535,11.0,78.9,.203
Dallas Mavericks,27.9,23,35,25,33,-2.21,0.55,-1.66,105.8,108.2,91.8,.218,.364,.542,.507,11.6,18.3,.175,.528,14.8,77.4,.222
Atlanta Hawks,28.1,32,26,27,31,-1.09,-0.58,-1.67,105.0,106.1,97.1,.288,.307,.540,.505,13.9,23.2,.208,.508,13.7,75.8,.175
Indiana Pacers,27.0,30,29,28,31,-1.02,-0.70,-1.72,107.9,109.0,96.7,.269,.266,.558,.514,12.8,20.0,.219,.512,13.6,75.0,.224
Portland Trail Blazers,25.0,24,34,24,34,-2.66,0.72,-1.94,109.2,111.9,97.1,.274,.325,.553,.513,12.5,22.6,.214,.512,11.7,76.6,.256
Sacramento Kings,28.7,25,34,24,35,-2.59,0.52,-2.07,107.8,110.5,94.5,.294,.308,.555,.512,13.6,21.9,.229,.530,13.7,76.9,.235
New York Knicks,27.5,24,35,23,36,-3.25,-0.19,-3.45,108.3,111.6,96.8,.236,.285,.535,.499,12.5,27.1,.184,.509,11.5,74.1,.217
New Orleans Pelicans,25.6,23,37,22,38,-3.83,0.29,-3.55,103.8,107.7,98.1,.261,.305,.535,.499,12.0,18.4,.194,.508,12.3,77.1,.184
Phoenix Suns,25.7,18,41,20,39,-5.46,0.66,-4.79,106.5,112.0,99.4,.294,.263,.539,.494,13.7,26.5,.231,.530,13.7,76.9,.263
Philadelphia 76ers,24.9,22,36,19,39,-5.29,-0.13,-5.42,102.6,107.9,98.4,.263,.347,.537,.499,15.0,21.8,.200,.511,13.6,75.7,.229
Orlando Magic,25.6,22,38,18,42,-6.20,0.08,-6.12,103.0,109.4,96.3,.247,.298,.523,.490,12.4,21.5,.180,.518,12.3,77.0,.199
Los Angeles Lakers,25.7,19,41,18,42,-6.70,0.50,-6.20,105.9,112.7,98.4,.266,.304,.535,.497,13.6,25.3,.203,.537,12.7,75.5,.208
Brooklyn Nets,26.3,9,49,14,44,-9.09,0.71,-8.38,103.1,112.0,101.6,.276,.376,.548,.506,15.1,19.5,.217,.519,11.3,75.7,.207
