team_name,W_PCT,HOME_RECORD,ROAD_RECORD,L10,CurrentStreak
New York Knicks,0.4,0.45,0.35,0.4,1
Los Angeles Lakers,0.20253164556962025,0.275,0.1282051282051282,0.2,-4
Memphis Grizzlies,0.5316455696202531,0.65,0.41025641025641024,0.3,-1
Philadelphia 76ers,0.12658227848101267,0.175,0.07692307692307693,0.1,-1
San Antonio Spurs,0.8227848101265823,1.0,0.65,0.6,-2
Houston Rockets,0.4810126582278481,0.5384615384615384,0.425,0.3,-2
Detroit Pistons,0.5375,0.65,0.425,0.7,2
Boston Celtics,0.5949367088607594,0.6923076923076923,0.5,0.8,4
Miami Heat,0.5822784810126582,0.675,0.48717948717948717,0.6,-1
Orlando Magic,0.43037974683544306,0.55,0.3076923076923077,0.5,1
Portland Trail Blazers,0.5375,0.6923076923076923,0.3902439024390244,0.7,2
Golden State Warriors,0.8860759493670886,0.95,0.8205128205128205,0.8,1
Chicago Bulls,0.4936708860759494,0.6153846153846154,0.375,0.3,-2
Washington Wizards,0.4810126582278481,0.5128205128205128,0.45,0.4,-1
Dallas Mavericks,0.5189873417721519,0.575,0.46153846153846156,0.7,6
Minnesota Timberwolves,0.34177215189873417,0.3333333333333333,0.35,0.5,2
Oklahoma City Thunder,0.6835443037974683,0.775,0.5897435897435898,0.7,-1
Charlotte Hornets,0.5822784810126582,0.725,0.4358974358974359,0.7,2
Milwaukee Bucks,0.4050632911392405,0.575,0.23076923076923078,0.2,-3
Los Angeles Clippers,0.6455696202531646,0.6923076923076923,0.6,0.8,4
Toronto Raptors,0.6708860759493671,0.775,0.5641025641025641,0.5,1
Utah Jazz,0.4936708860759494,0.6,0.38461538461538464,0.6,-2
Phoenix Suns,0.26582278481012656,0.3333333333333333,0.2,0.2,1
Sacramento Kings,0.3924050632911392,0.425,0.358974358974359,0.4,-2
New Orleans Pelicans,0.379746835443038,0.5384615384615384,0.225,0.4,1
Cleveland Cavaliers,0.7088607594936709,0.8205128205128205,0.6,0.7,-1
Atlanta Hawks,0.5949367088607594,0.65,0.5384615384615384,0.7,2
Brooklyn Nets,0.26582278481012656,0.358974358974359,0.175,0.2,-7
Indiana Pacers,0.5316455696202531,0.6153846153846154,0.45,0.6,-1
Denver Nuggets,0.4125,0.45,0.375,0.4,1
