"team_name","age","wins_pyth","losses_pyth","mov","sos","srs","off_rtg","def_rtg","pace","fta_per_fga_pct","fg3a_per_fga_pct","ts_pct","efg_pct","tov_pct","orb_pct","ft_rate","opp_efg_pct","opp_tov_pct","drb_pct","opp_ft_rate","opp_fg","opp_fga","opp_fg_pct","opp_fg3","opp_fg3a","opp_fg3_pct","opp_fg2","opp_fg2a","opp_fg2_pct","opp_ft","opp_fta","opp_ft_pct","opp_orb","opp_drb","opp_trb","opp_ast","opp_stl","opp_blk","opp_tov","opp_pf","opp_pts","opp_pts_per_g","fg","fga","fg_pct","fg3","fg3a","fg3_pct","fg2","fg2a","fg2_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","pts_per_g"
"Toronto Raptors",26.5,1,1,7.5,19.7,27.2,104.9,97,95.4,0.267,0.193,0.508,0.452,13.2,33.7,0.233,0.466,14.9,80.5,0.202,68,163,0.417,16,54,0.296,52,109,0.477,33,44,0.75,17,63,80,37,16,3,32,39,185,92.5,76,176,0.432,7,34,0.206,69,142,0.486,41,47,0.872,32,70,102,29,17,3,30,42,200,100
"Cleveland Cavaliers",29.6,3,0,12.67,8.1,20.76,108.2,95.2,97.3,0.272,0.398,0.541,0.506,12.6,25,0.199,0.443,16.5,69,0.18,105,261,0.402,21,71,0.296,84,190,0.442,47,64,0.734,44,99,143,50,21,14,57,65,278,92.7,114,261,0.437,36,104,0.346,78,157,0.497,52,71,0.732,33,98,131,68,28,14,42,64,316,105.3
"Detroit Pistons",25.7,1,1,4,14.56,18.56,103.9,99.7,95.7,0.156,0.229,0.52,0.494,12,20.2,0.123,0.439,9.5,73.1,0.177,74,181,0.409,11,44,0.25,63,137,0.46,32,41,0.78,28,67,95,37,16,3,21,35,191,95.5,83,179,0.464,11,41,0.268,72,138,0.522,22,28,0.786,17,76,93,44,16,4,26,35,199,99.5
"Chicago Bulls",27.8,2,0,11.5,4.6,16.1,118.4,106.2,94.1,0.287,0.258,0.556,0.511,10.7,34.8,0.23,0.54,12.3,86.6,0.14,81,164,0.494,15,41,0.366,66,123,0.537,23,33,0.697,11,58,69,56,14,13,25,41,200,100,81,178,0.455,20,46,0.435,61,132,0.462,41,51,0.804,31,71,102,59,13,7,24,35,223,111.5
"Charlotte Hornets",27.1,2,1,3.67,9.51,13.18,104.4,100.6,96.4,0.312,0.296,0.511,0.456,8.4,20.7,0.25,0.486,12.6,81.2,0.151,110,259,0.425,32,81,0.395,78,178,0.438,39,57,0.684,25,115,140,67,10,15,41,71,291,97,107,260,0.412,23,77,0.299,84,183,0.459,65,81,0.802,30,108,138,69,23,25,27,59,302,100.7
"Boston Celtics",26.5,2,1,1.67,11.48,13.15,111,109.3,97.6,0.24,0.35,0.598,0.577,13.9,16.2,0.167,0.479,10.8,73.1,0.235,111,268,0.414,35,101,0.347,76,167,0.455,63,83,0.759,39,98,137,69,21,10,37,57,320,106.7,125,246,0.508,34,86,0.395,91,160,0.569,41,59,0.695,19,106,125,83,23,21,44,71,325,108.3
"Miami Heat",25.7,1,1,3,7.54,10.54,103.1,100,96.5,0.197,0.273,0.5,0.481,13.9,29,0.126,0.419,8.6,74,0.233,69,180,0.383,13,39,0.333,56,141,0.397,42,52,0.808,27,66,93,40,15,13,19,35,193,96.5,79,183,0.432,18,50,0.36,61,133,0.459,23,36,0.639,27,77,104,46,7,11,32,45,199,99.5
"San Antonio Spurs",29,3,0,18.67,-9.83,8.84,115.3,95.6,95.2,0.292,0.254,0.561,0.508,10.4,26.7,0.25,0.45,13.4,83.8,0.232,100,241,0.415,17,75,0.227,83,166,0.5,56,71,0.789,21,99,120,60,24,11,42,59,273,91,118,260,0.454,28,66,0.424,90,194,0.464,65,76,0.855,36,109,145,69,29,18,34,60,329,109.7
"Los Angeles Clippers",29.7,1,0,8,-0.08,7.92,112.5,104.6,101.3,0.505,0.319,0.512,0.451,6.7,27.8,0.352,0.482,12.4,78.6,0.282,39,85,0.459,4,18,0.222,35,67,0.522,24,32,0.75,9,39,48,18,4,4,14,34,106,106,37,91,0.407,8,29,0.276,29,62,0.468,32,46,0.696,15,33,48,12,10,4,8,25,114,114
"Atlanta Hawks",28.2,2,0,23.5,-16.09,7.42,107.1,84,101.8,0.237,0.266,0.571,0.546,14.7,24.1,0.168,0.422,17.1,83.2,0.138,68,174,0.391,11,38,0.289,57,136,0.419,24,33,0.727,16,63,79,41,23,9,39,40,171,85.5,86,173,0.497,17,46,0.37,69,127,0.543,29,41,0.707,20,79,99,59,24,14,33,33,218,109
