team_name,opp_mp,opp_fg_pct,opp_avg_dist,opp_fg2a_pct_fga,opp_pct_fga_00_02,opp_pct_fga_03_09,opp_pct_fga_10_15,opp_pct_fga_16_xx,opp_fg3a_pct_fga,opp_fg2_pct,opp_fg_pct_00_02,opp_fg_pct_03_09,opp_fg_pct_10_15,opp_fg_pct_16_xx,opp_fg3_pct,opp_fg2_pct_ast,opp_pct_fg2_dunk,opp_fg2_dunk,opp_pct_fg2_layup,opp_fg2_layup,opp_fg3_pct_ast,opp_pct_fg3a_corner,opp_fg3_pct_corner
Atlanta Hawks,960,.450,13.3,.754,.243,.151,.157,.204,.246,.478,.598,.490,.377,.406,.361,.533,.050,16,.186,32,.867,.241,.550
Boston Celtics,960,.418,13.4,.653,.315,.140,.060,.138,.347,.456,.564,.408,.333,.313,.347,.510,.032,10,.289,54,.881,.182,.364
Brooklyn Nets,1200,.460,12.5,.712,.283,.201,.093,.137,.288,.503,.609,.396,.500,.435,.354,.562,.038,16,.283,75,.848,.254,.515
Chicago Bulls,960,.447,12.8,.700,.277,.210,.086,.127,.300,.498,.646,.411,.367,.409,.327,.579,.029,9,.280,60,.824,.337,.286
Charlotte Hornets,960,.417,12.9,.655,.351,.125,.067,.113,.345,.442,.529,.326,.261,.410,.370,.490,.046,14,.307,49,.932,.176,.286
Cleveland Cavaliers,960,.422,13.6,.672,.288,.137,.105,.137,.328,.466,.634,.354,.351,.333,.330,.418,.051,15,.254,49,.895,.200,.435
Dallas Mavericks,985,.466,13.6,.666,.275,.172,.050,.169,.334,.474,.636,.400,.375,.315,.449,.515,.056,17,.256,50,.688,.224,.500
Denver Nuggets,745,.446,12.6,.759,.291,.140,.169,.158,.241,.507,.605,.487,.468,.386,.254,.523,.054,13,.245,40,.824,.194,.385
Detroit Pistons,1200,.428,12.5,.744,.277,.212,.109,.147,.256,.466,.655,.374,.298,.365,.318,.490,.028,12,.263,71,.886,.191,.333
Golden State Warriors,960,.449,13.2,.711,.297,.152,.080,.182,.289,.485,.631,.351,.467,.368,.361,.481,.040,13,.273,60,.872,.185,.350
Houston Rockets,1200,.456,14.2,.653,.252,.159,.109,.133,.347,.498,.670,.358,.500,.339,.377,.336,.033,14,.219,57,.818,.219,.375
Indiana Pacers,985,.459,13.6,.645,.292,.150,.074,.128,.355,.530,.589,.491,.407,.511,.331,.480,.077,25,.268,45,.791,.200,.308
Los Angeles Clippers,960,.420,12.6,.779,.276,.172,.147,.184,.221,.457,.700,.339,.354,.283,.292,.448,.055,18,.239,47,.810,.264,.211
Los Angeles Lakers,1200,.472,12.4,.673,.383,.096,.086,.110,.327,.552,.701,.317,.324,.404,.307,.522,.086,36,.299,81,.884,.243,.206
Memphis Grizzlies,1250,.459,12.6,.710,.310,.172,.096,.133,.290,.509,.635,.471,.308,.407,.339,.503,.044,17,.275,65,.850,.254,.267
Miami Heat,985,.399,12.4,.772,.265,.202,.134,.171,.228,.413,.452,.394,.319,.450,.350,.393,.028,8,.251,36,1.000,.275,.318
Milwaukee Bucks,960,.443,12.9,.700,.327,.155,.087,.131,.300,.500,.670,.358,.367,.333,.311,.550,.061,18,.271,58,.938,.214,.409
Minnesota Timberwolves,720,.427,13.3,.690,.259,.197,.092,.142,.310,.473,.613,.447,.364,.324,.324,.436,.075,17,.201,23,.792,.230,.471
New Orleans Pelicans,1225,.437,12.7,.695,.330,.165,.093,.106,.305,.482,.644,.315,.317,.383,.333,.541,.048,20,.292,76,.911,.163,.409
New York Knicks,960,.461,12.0,.684,.363,.148,.075,.098,.316,.490,.615,.358,.333,.343,.398,.467,.061,19,.304,61,.844,.265,.500
Oklahoma City Thunder,985,.418,12.5,.699,.256,.230,.111,.102,.301,.492,.678,.309,.513,.417,.245,.463,.048,15,.227,48,.846,.264,.250
Orlando Magic,960,.472,12.2,.743,.290,.196,.127,.130,.257,.520,.733,.366,.391,.426,.333,.514,.077,24,.215,53,.871,.258,.375
Philadelphia 76ers,960,.462,12.6,.712,.316,.154,.080,.162,.288,.528,.640,.463,.429,.421,.297,.583,.054,17,.265,55,.900,.188,.368
Phoenix Suns,1250,.451,12.9,.731,.305,.126,.157,.146,.269,.503,.610,.321,.457,.477,.308,.476,.047,19,.260,65,.865,.175,.286
Portland Trail Blazers,1250,.449,12.4,.746,.325,.142,.116,.163,.254,.496,.616,.439,.444,.342,.314,.419,.052,20,.271,73,.784,.161,.158
Sacramento Kings,1225,.455,13.5,.707,.252,.173,.087,.196,.293,.496,.636,.441,.441,.390,.357,.551,.041,14,.232,54,.829,.313,.389
San Antonio Spurs,1200,.441,14.0,.683,.247,.184,.101,.151,.317,.502,.582,.397,.600,.433,.310,.500,.045,16,.219,45,.821,.262,.273
Toronto Raptors,960,.453,12.4,.728,.278,.203,.123,.123,.272,.500,.636,.547,.231,.385,.326,.443,.054,14,.253,44,.750,.151,.385
Utah Jazz,1200,.433,14.1,.709,.256,.137,.111,.205,.291,.464,.624,.278,.318,.469,.357,.469,.046,14,.203,47,.756,.217,.240
Washington Wizards,745,.498,14.8,.676,.213,.138,.134,.194,.324,.520,.630,.400,.500,.490,.451,.472,.036,8,.217,30,.838,.207,.647
