team_name,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Chicago Bulls,27.8,3,1,11.50,8.73,20.23,114.5,102.6,96.3,.287,.267,.563,.517,13.8,33.7,.233,.496,12.1,80.2,.147
Boston Celtics,26.4,2,2,3.00,12.72,15.72,111.4,108.3,97.0,.228,.354,.589,.571,13.3,18.0,.156,.479,12.3,71.4,.246
San Antonio Spurs,29.5,4,1,9.60,-0.12,9.48,112.0,101.8,93.9,.294,.249,.557,.502,11.1,24.5,.254,.490,12.7,85.4,.224
Los Angeles Clippers,29.7,3,1,9.25,-0.61,8.64,100.5,91.2,99.8,.358,.276,.508,.465,12.4,21.8,.246,.452,16.9,79.5,.212
Charlotte Hornets,27.0,3,1,6.75,1.03,7.78,106.3,99.3,96.7,.316,.327,.532,.484,9.8,21.3,.245,.481,13.7,81.3,.151
Atlanta Hawks,28.6,3,1,12.75,-5.38,7.38,110.3,97.5,99.7,.347,.320,.566,.533,14.1,27.2,.240,.494,16.5,80.6,.163
Cleveland Cavaliers,29.6,3,1,11.50,-5.81,5.70,115.3,103.4,96.2,.297,.395,.571,.532,12.0,27.3,.227,.476,14.1,70.6,.182
Toronto Raptors,26.3,3,1,7.00,-1.78,5.22,110.2,102.9,94.8,.284,.220,.545,.500,11.7,26.9,.226,.497,14.4,79.1,.241
Miami Heat,25.8,2,2,2.75,2.14,4.89,103.4,100.6,95.6,.261,.284,.522,.493,13.6,21.8,.178,.439,11.0,74.5,.248
Oklahoma City Thunder,25.2,3,1,7.00,-2.65,4.35,97.3,90.7,103.7,.274,.241,.501,.462,15.2,25.8,.198,.455,15.0,83.8,.188
Utah Jazz,27.0,3,2,3.20,0.90,4.10,105.3,101.8,90.8,.295,.324,.552,.514,13.8,18.3,.219,.485,13.1,80.6,.200
Minnesota Timberwolves,23.9,2,1,9.67,-6.64,3.03,113.0,102.6,93.5,.352,.254,.582,.544,14.4,30.4,.254,.477,14.9,76.6,.251
Brooklyn Nets,26.9,2,3,-4.00,6.63,2.63,104.4,108.3,100.6,.241,.384,.539,.498,14.7,24.8,.198,.511,13.7,74.8,.184
Sacramento Kings,29.1,2,3,-1.80,3.62,1.82,105.0,106.9,94.0,.333,.279,.543,.491,14.2,21.1,.262,.508,13.4,75.9,.290
Detroit Pistons,25.8,3,2,5.60,-4.53,1.08,104.6,98.7,95.6,.203,.223,.517,.488,12.0,23.6,.151,.469,12.0,78.3,.160
Indiana Pacers,27.1,2,2,-2.50,3.36,0.86,106.7,109.2,100.4,.251,.243,.541,.505,12.7,21.9,.191,.518,13.5,74.7,.194
Los Angeles Lakers,25.9,2,3,-3.60,2.80,-0.80,105.8,109.4,101.3,.256,.320,.550,.506,15.6,25.6,.212,.522,14.6,73.7,.250
Golden State Warriors,28.3,2,2,2.00,-2.96,-0.96,109.8,107.9,103.6,.293,.333,.579,.534,13.6,18.6,.239,.501,12.4,73.8,.193
Houston Rockets,27.1,3,2,2.80,-5.51,-2.71,114.7,111.7,96.1,.316,.424,.583,.551,14.2,26.9,.227,.521,12.2,76.7,.233
Denver Nuggets,25.3,2,2,0.00,-3.15,-3.15,102.3,102.3,101.4,.405,.261,.518,.453,13.8,27.3,.314,.477,10.2,85.8,.205
Portland Trail Blazers,25.2,2,3,-4.60,0.39,-4.21,105.1,109.4,101.1,.263,.317,.557,.513,13.3,15.8,.216,.489,11.2,75.3,.260
Milwaukee Bucks,24.9,1,3,-5.00,0.26,-4.74,103.0,108.1,98.6,.221,.243,.517,.476,11.3,21.2,.182,.490,12.7,75.0,.262
Phoenix Suns,25.8,1,4,-8.60,1.93,-6.67,97.6,105.7,102.3,.324,.219,.508,.463,13.2,21.3,.234,.492,13.9,80.2,.278
Dallas Mavericks,29.1,1,3,-8.50,-0.11,-8.61,100.5,109.2,95.1,.209,.386,.520,.484,11.9,18.4,.168,.541,14.8,81.4,.250
New Orleans Pelicans,25.8,1,4,-8.40,-2.05,-10.45,94.8,102.9,101.5,.274,.279,.497,.451,12.6,15.4,.211,.488,14.6,77.8,.231
Orlando Magic,24.8,1,3,-10.50,-0.02,-10.52,99.2,110.2,95.8,.231,.267,.479,.447,11.4,27.2,.161,.515,11.1,73.4,.135
Washington Wizards,26.1,1,2,-11.33,0.57,-10.76,101.8,113.1,96.5,.266,.218,.542,.504,16.1,20.5,.202,.571,14.5,75.6,.198
Memphis Grizzlies,28.0,2,3,-4.80,-6.07,-10.87,99.2,104.1,94.2,.303,.310,.509,.463,14.5,23.7,.227,.509,14.8,78.6,.238
Philadelphia 76ers,24.8,0,4,-14.00,2.25,-11.76,92.1,106.3,98.6,.214,.304,.500,.465,16.0,14.4,.163,.504,10.7,77.4,.185
New York Knicks,27.7,1,3,-13.50,-1.70,-15.20,98.3,112.1,98.4,.296,.269,.513,.476,13.5,19.3,.207,.524,12.7,71.2,.184
