team_name,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,pct_fg2_layup,fg2_layup,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,.459,13.0,.693,.318,.129,.100,.146,.307,.515,.645,.365,.437,.412,.332,.545,.057,120,.273,358,.897,.250,.400,3,0
Boston Celtics,.447,13.9,.641,.292,.141,.073,.134,.359,.499,.610,.367,.426,.441,.354,.555,.027,59,.278,369,.861,.212,.463,8,0
Brooklyn Nets,.439,13.3,.613,.302,.182,.065,.065,.387,.507,.601,.458,.386,.322,.331,.426,.028,56,.302,384,.867,.220,.332,2,0
Chicago Bulls,.436,12.2,.773,.296,.177,.121,.179,.227,.475,.577,.494,.370,.357,.303,.492,.038,75,.272,331,.838,.232,.347,4,0
Charlotte Hornets,.436,13.7,.676,.286,.140,.093,.157,.324,.475,.601,.408,.374,.369,.353,.566,.028,64,.264,356,.796,.148,.374,6,0
Cleveland Cavaliers,.464,14.6,.605,.270,.118,.098,.120,.395,.505,.657,.331,.454,.377,.401,.435,.056,103,.222,273,.841,.275,.472,4,0
Dallas Mavericks,.423,15.1,.637,.205,.132,.112,.189,.363,.470,.625,.402,.429,.375,.340,.434,.040,77,.171,209,.835,.188,.377,3,0
Denver Nuggets,.444,12.4,.704,.332,.165,.083,.124,.296,.481,.578,.421,.355,.384,.357,.461,.045,94,.292,362,.873,.206,.428,6,0
Detroit Pistons,.451,12.7,.751,.251,.200,.140,.159,.249,.487,.643,.391,.436,.406,.345,.462,.043,101,.210,308,.851,.222,.406,11,0
Golden State Warriors,.498,14.3,.640,.294,.107,.110,.130,.360,.563,.708,.422,.428,.465,.381,.669,.071,165,.233,358,.866,.204,.383,11,0
Houston Rockets,.468,14.3,.551,.312,.143,.041,.056,.449,.537,.671,.357,.380,.380,.383,.542,.072,155,.264,391,.775,.206,.387,7,0
Indiana Pacers,.454,13.3,.736,.248,.186,.111,.192,.264,.487,.620,.462,.371,.407,.360,.486,.028,62,.241,344,.856,.230,.404,8,1
Los Angeles Clippers,.467,14.2,.684,.269,.118,.086,.210,.316,.507,.652,.338,.414,.455,.380,.503,.061,127,.222,302,.780,.217,.416,5,0
Los Angeles Lakers,.446,12.9,.707,.273,.186,.118,.129,.293,.488,.661,.344,.378,.430,.345,.454,.056,131,.225,348,.806,.216,.352,7,1
Memphis Grizzlies,.414,13.2,.705,.294,.159,.098,.155,.295,.453,.545,.429,.374,.350,.321,.487,.034,70,.273,334,.827,.215,.400,9,0
Miami Heat,.435,12.6,.708,.310,.170,.087,.142,.292,.478,.604,.376,.373,.388,.329,.442,.053,113,.261,338,.926,.309,.370,5,0
Milwaukee Bucks,.462,11.9,.710,.353,.171,.074,.111,.290,.507,.640,.376,.329,.405,.352,.533,.076,148,.276,329,.917,.261,.323,4,0
Minnesota Timberwolves,.452,12.6,.725,.309,.157,.094,.167,.275,.492,.603,.442,.374,.399,.344,.508,.056,114,.258,304,.832,.248,.373,2,0
New Orleans Pelicans,.438,13.5,.706,.262,.170,.109,.163,.294,.483,.607,.430,.404,.393,.331,.526,.040,92,.235,331,.841,.196,.363,5,0
New York Knicks,.444,13.3,.715,.290,.123,.134,.171,.285,.480,.605,.339,.424,.407,.354,.464,.039,85,.255,333,.860,.208,.444,12,0
Oklahoma City Thunder,.455,11.8,.710,.354,.146,.115,.095,.290,.506,.623,.394,.406,.362,.330,.477,.065,135,.289,387,.836,.297,.379,8,1
Orlando Magic,.430,13.6,.698,.255,.175,.104,.163,.302,.472,.615,.387,.428,.364,.333,.498,.037,83,.227,310,.895,.180,.328,8,0
Philadelphia 76ers,.433,13.9,.647,.270,.146,.109,.121,.353,.476,.641,.344,.383,.354,.356,.527,.031,65,.245,333,.861,.169,.375,4,0
Phoenix Suns,.440,12.8,.725,.303,.148,.116,.158,.275,.480,.609,.407,.376,.376,.335,.367,.046,97,.262,354,.838,.296,.316,8,0
Portland Trail Blazers,.456,13.7,.662,.280,.152,.092,.139,.338,.502,.609,.417,.448,.416,.366,.464,.041,96,.244,345,.796,.217,.366,6,0
Sacramento Kings,.442,12.8,.710,.287,.191,.081,.149,.290,.484,.639,.403,.373,.353,.340,.503,.052,106,.272,358,.866,.252,.343,8,0
San Antonio Spurs,.469,13.6,.727,.245,.160,.114,.209,.273,.495,.633,.406,.393,.456,.400,.540,.048,90,.208,265,.888,.267,.460,6,0
Toronto Raptors,.480,13.4,.712,.244,.179,.124,.166,.288,.514,.642,.478,.452,.408,.395,.403,.046,97,.217,285,.812,.277,.410,4,1
Utah Jazz,.471,13.5,.658,.292,.145,.097,.124,.342,.526,.662,.452,.448,.353,.366,.434,.061,122,.234,304,.790,.228,.361,5,0
Washington Wizards,.463,12.9,.748,.280,.154,.127,.187,.252,.497,.608,.450,.436,.413,.363,.486,.032,62,.261,338,.820,.245,.324,3,0
