"Visitor","Home","visitor_age","visitor_wins_pyth","visitor_losses_pyth","visitor_mov","visitor_sos","visitor_srs","visitor_off_rtg","visitor_def_rtg","visitor_pace","visitor_fta_per_fga_pct","visitor_fg3a_per_fga_pct","visitor_ts_pct","visitor_efg_pct","visitor_tov_pct","visitor_orb_pct","visitor_ft_rate","visitor_opp_efg_pct","visitor_opp_tov_pct","visitor_drb_pct","visitor_opp_ft_rate","visitor_opp_mp","visitor_opp_fg_pct","visitor_opp_avg_dist","visitor_opp_fg2a_pct_fga","visitor_opp_pct_fga_00_03","visitor_opp_pct_fga_03_10","visitor_opp_pct_fga_10_16","visitor_opp_pct_fga_16_xx","visitor_opp_fg3a_pct_fga","visitor_opp_fg2_pct","visitor_opp_fg_pct_00_03","visitor_opp_fg_pct_03_10","visitor_opp_fg_pct_10_16","visitor_opp_fg_pct_16_xx","visitor_opp_fg3_pct","visitor_opp_fg2_pct_ast","visitor_opp_pct_fg2_dunk","visitor_opp_fg2_dunk","visitor_opp_pct_fg2_layup","visitor_opp_fg2_layup","visitor_opp_fg3_pct_ast","visitor_opp_pct_fg3a_corner","visitor_opp_fg3_pct_corner","visitor_opp_fg","visitor_opp_fga","visitor_opp_fg3","visitor_opp_fg3a","visitor_opp_fg2","visitor_opp_fg2a","visitor_opp_ft","visitor_opp_fta","visitor_opp_ft_pct","visitor_opp_orb","visitor_opp_drb","visitor_opp_trb","visitor_opp_ast","visitor_opp_stl","visitor_opp_blk","visitor_opp_tov","visitor_opp_pf","visitor_opp_pts","visitor_fg_pct","visitor_avg_dist","visitor_fg2a_pct_fga","visitor_pct_fga_00_03","visitor_pct_fga_03_10","visitor_pct_fga_10_16","visitor_pct_fga_16_xx","visitor_fg3a_pct_fga","visitor_fg2_pct","visitor_fg_pct_00_03","visitor_fg_pct_03_10","visitor_fg_pct_10_16","visitor_fg_pct_16_xx","visitor_fg3_pct","visitor_fg2_pct_ast","visitor_pct_fg2_dunk","visitor_fg2_dunk","visitor_pct_fg2_layup","visitor_fg2_layup","visitor_fg3_pct_ast","visitor_pct_fg3a_corner","visitor_fg3_pct_corner","visitor_fg3a_heave","visitor_fg3_heave","visitor_fg","visitor_fga","visitor_fg3","visitor_fg3a","visitor_fg2","visitor_fg2a","visitor_ft","visitor_fta","visitor_ft_pct","visitor_orb","visitor_drb","visitor_trb","visitor_ast","visitor_stl","visitor_blk","visitor_tov","visitor_pf","visitor_pts","visitor_W_PCT","visitor_HOME_RECORD","visitor_ROAD_RECORD","visitor_L10","visitor_CurrentStreak","home_age","home_wins_pyth","home_losses_pyth","home_mov","home_sos","home_srs","home_off_rtg","home_def_rtg","home_pace","home_fta_per_fga_pct","home_fg3a_per_fga_pct","home_ts_pct","home_efg_pct","home_tov_pct","home_orb_pct","home_ft_rate","home_opp_efg_pct","home_opp_tov_pct","home_drb_pct","home_opp_ft_rate","home_opp_mp","home_opp_fg_pct","home_opp_avg_dist","home_opp_fg2a_pct_fga","home_opp_pct_fga_00_03","home_opp_pct_fga_03_10","home_opp_pct_fga_10_16","home_opp_pct_fga_16_xx","home_opp_fg3a_pct_fga","home_opp_fg2_pct","home_opp_fg_pct_00_03","home_opp_fg_pct_03_10","home_opp_fg_pct_10_16","home_opp_fg_pct_16_xx","home_opp_fg3_pct","home_opp_fg2_pct_ast","home_opp_pct_fg2_dunk","home_opp_fg2_dunk","home_opp_pct_fg2_layup","home_opp_fg2_layup","home_opp_fg3_pct_ast","home_opp_pct_fg3a_corner","home_opp_fg3_pct_corner","home_opp_fg","home_opp_fga","home_opp_fg3","home_opp_fg3a","home_opp_fg2","home_opp_fg2a","home_opp_ft","home_opp_fta","home_opp_ft_pct","home_opp_orb","home_opp_drb","home_opp_trb","home_opp_ast","home_opp_stl","home_opp_blk","home_opp_tov","home_opp_pf","home_opp_pts","home_fg_pct","home_avg_dist","home_fg2a_pct_fga","home_pct_fga_00_03","home_pct_fga_03_10","home_pct_fga_10_16","home_pct_fga_16_xx","home_fg3a_pct_fga","home_fg2_pct","home_fg_pct_00_03","home_fg_pct_03_10","home_fg_pct_10_16","home_fg_pct_16_xx","home_fg3_pct","home_fg2_pct_ast","home_pct_fg2_dunk","home_fg2_dunk","home_pct_fg2_layup","home_fg2_layup","home_fg3_pct_ast","home_pct_fg3a_corner","home_fg3_pct_corner","home_fg3a_heave","home_fg3_heave","home_fg","home_fga","home_fg3","home_fg3a","home_fg2","home_fg2a","home_ft","home_fta","home_ft_pct","home_orb","home_drb","home_trb","home_ast","home_stl","home_blk","home_tov","home_pf","home_pts","home_W_PCT","home_HOME_RECORD","home_ROAD_RECORD","home_L10","home_CurrentStreak"
"Toronto Raptors","Chicago Bulls",26.1,35,20,4.4,-0.31,4.09,114,109.4,95.2,0.298,0.292,0.565,0.52,11.2,25,0.239,0.514,13.8,75.1,0.226,13275,0.455,13.3,0.671,0.276,0.179,0.092,0.124,0.329,0.5,0.655,0.392,0.391,0.395,0.361,0.489,0.053,224,0.25,639,0.839,0.237,0.357,37.9,83.4,9.9,27.5,28,55.9,18.9,24.2,0.781,10.6,32.4,43,22,6.4,4.7,15,20.4,104.7,0.466,13.3,0.708,0.256,0.183,0.119,0.15,0.292,0.504,0.628,0.454,0.444,0.401,0.372,0.379,0.047,201,0.226,587,0.774,0.249,0.381,10,1,39.7,85.3,9.3,24.9,30.5,60.4,20.4,25.4,0.804,10.8,31.9,42.7,18.7,8.6,4.9,12.1,21,109.1,0.582,0.642857142857143,0.518518518518518,0.4,-2,27.5,26,29,-0.91,-0.42,-1.33,107.1,108.1,94.9,0.281,0.235,0.524,0.477,12.2,28.4,0.224,0.513,12.2,76.7,0.164,13250,0.461,12.7,0.715,0.306,0.158,0.1,0.152,0.285,0.5,0.615,0.409,0.409,0.419,0.365,0.532,0.051,229,0.276,717,0.858,0.244,0.411,39.9,86.5,9,24.6,30.9,61.9,14.2,18.5,0.767,10.2,32.5,42.8,24.2,7.4,4.9,13.2,19.3,103,0.44,12.5,0.765,0.28,0.175,0.126,0.185,0.235,0.478,0.59,0.458,0.395,0.382,0.317,0.493,0.039,169,0.257,667,0.862,0.267,0.403,7,0,38.1,86.6,6.4,20.3,31.7,66.3,19.4,24.4,0.796,12.9,33.7,46.6,21.1,7.8,5,13.5,17.6,102.1,0.473,0.576923076923077,0.379310344827586,0.4,-3
"Sacramento Kings","Los Angeles Lakers",28.9,23,32,-2.42,0.45,-1.97,108.2,110.7,94.5,0.299,0.311,0.557,0.514,13.5,21.9,0.233,0.531,13.8,76.8,0.242,13350,0.463,14.3,0.636,0.239,0.171,0.081,0.146,0.364,0.514,0.658,0.441,0.439,0.407,0.373,0.515,0.052,210,0.216,561,0.835,0.245,0.422,37.6,81.2,11,29.6,26.6,51.7,19.6,25.2,0.78,9.6,32.5,42.1,22.9,8.2,5.3,14.7,21.2,105.8,0.457,13.2,0.689,0.273,0.187,0.079,0.15,0.311,0.498,0.643,0.427,0.374,0.391,0.365,0.505,0.045,181,0.272,719,0.898,0.248,0.408,15,0,37.5,82.1,9.3,25.5,28.2,56.6,19.1,24.5,0.779,9.1,31.9,41,22.6,8.2,4,14.5,21.1,103.4,0.418,0.444444444444444,0.392857142857143,0.5,3,25.8,18,38,-5.84,0.46,-5.38,106.5,112.5,98.3,0.271,0.303,0.539,0.499,13.6,25.4,0.208,0.535,12.6,75.7,0.209,13440,0.478,13.3,0.683,0.297,0.148,0.093,0.145,0.317,0.531,0.679,0.434,0.397,0.414,0.363,0.528,0.064,279,0.243,724,0.854,0.211,0.395,41.3,86.3,9.9,27.4,31.3,59,18.1,23.9,0.757,10.4,34,44.4,25,8.6,5.3,13.9,18.9,110.5,0.445,12.9,0.697,0.283,0.185,0.108,0.121,0.303,0.485,0.628,0.384,0.388,0.393,0.353,0.455,0.053,230,0.235,640,0.783,0.22,0.388,9,1,38.6,86.8,9.3,26.3,29.3,60.4,18.1,23.5,0.769,11.6,32.5,44.1,20.7,7.7,3.8,15.3,20.7,104.7,0.339,0.48,0.225806451612903,0.4,1
"Cleveland Cavaliers","Minnesota Timberwolves",29,35,18,5.26,-0.41,4.85,113.8,108.4,97,0.292,0.391,0.576,0.54,12.7,23.4,0.22,0.512,12.2,75.5,0.171,12820,0.455,13.3,0.679,0.291,0.15,0.104,0.132,0.321,0.499,0.631,0.383,0.404,0.419,0.36,0.525,0.046,191,0.25,676,0.823,0.241,0.363,40.3,88.6,10.2,28.5,30,60.1,15.2,19.6,0.774,11.1,32.8,43.8,24.2,7.7,4.8,13.6,21.5,106,0.464,14.3,0.609,0.287,0.116,0.098,0.108,0.391,0.512,0.655,0.331,0.417,0.412,0.39,0.434,0.053,220,0.241,638,0.822,0.296,0.426,5,0,39.7,85.5,13,33.4,26.7,52.1,18.8,25,0.753,10,34.1,44.1,22.3,7.4,4.1,14.1,18,111.2,0.698,0.821428571428571,0.56,0.7,1,23.7,26,29,-1.02,0.04,-0.98,110.1,111.1,94.5,0.287,0.265,0.553,0.51,13.2,27,0.226,0.531,13.3,76.4,0.217,13275,0.473,13,0.682,0.312,0.14,0.092,0.138,0.318,0.523,0.653,0.429,0.411,0.399,0.365,0.481,0.059,253,0.262,689,0.862,0.214,0.421,39,82.6,9.6,26.3,29.4,56.3,17.9,23.3,0.77,9.6,30.8,40.4,22.4,7.8,5,14.3,20.8,105.6,0.464,12.7,0.735,0.296,0.162,0.096,0.181,0.265,0.505,0.635,0.44,0.402,0.404,0.349,0.533,0.057,249,0.243,630,0.864,0.261,0.404,5,0,38.9,83.9,7.8,22.2,31.2,61.7,19,24.1,0.789,11.4,31,42.4,23.3,7.7,4.6,14.4,20.5,104.6,0.382,0.451612903225806,0.291666666666667,0.4,1
