team_name,opp_mp,opp_fg_pct,opp_avg_dist,opp_fg2a_pct_fga,opp_pct_fga_00_03,opp_pct_fga_03_10,opp_pct_fga_10_16,opp_pct_fga_16_xx,opp_fg3a_pct_fga,opp_fg2_pct,opp_fg_pct_00_03,opp_fg_pct_03_10,opp_fg_pct_10_16,opp_fg_pct_16_xx,opp_fg3_pct,opp_fg2_pct_ast,opp_pct_fg2_dunk,opp_fg2_dunk,opp_pct_fg2_layup,opp_fg2_layup,opp_fg3_pct_ast,opp_pct_fg3a_corner,opp_fg3_pct_corner
Atlanta Hawks,4320,.433,13.7,.690,.269,.140,.111,.168,.310,.480,.572,.423,.400,.436,.330,.483,.043,60,.227,178,.814,.207,.376
Boston Celtics,4080,.440,13.4,.692,.275,.170,.101,.146,.308,.487,.614,.407,.367,.418,.333,.510,.040,55,.241,197,.833,.213,.354
Brooklyn Nets,4130,.472,13.4,.685,.289,.145,.098,.154,.315,.519,.611,.454,.438,.456,.371,.493,.050,69,.263,233,.798,.252,.427
Chicago Bulls,3840,.440,12.7,.709,.286,.186,.099,.140,.291,.471,.617,.399,.350,.351,.364,.517,.042,54,.272,211,.864,.262,.311
Charlotte Hornets,4370,.440,14.0,.654,.290,.110,.094,.160,.346,.488,.572,.441,.444,.393,.348,.497,.034,48,.258,220,.870,.216,.342
Cleveland Cavaliers,3840,.447,13.4,.685,.289,.145,.109,.140,.315,.490,.634,.308,.455,.415,.355,.481,.037,47,.252,212,.856,.184,.349
Dallas Mavericks,3890,.458,14.1,.658,.258,.146,.085,.168,.342,.487,.630,.373,.430,.390,.402,.506,.049,57,.217,159,.770,.259,.393
Denver Nuggets,4155,.459,12.9,.737,.286,.156,.119,.176,.263,.503,.631,.473,.444,.357,.338,.474,.046,68,.246,217,.859,.223,.382
Detroit Pistons,4560,.432,13.3,.707,.264,.174,.109,.160,.293,.469,.627,.380,.366,.375,.343,.512,.032,43,.240,230,.855,.242,.366
Golden State Warriors,4320,.432,13.4,.704,.267,.170,.103,.163,.296,.476,.619,.351,.419,.409,.329,.488,.041,60,.239,219,.854,.208,.380
Houston Rockets,4320,.465,13.3,.690,.272,.179,.091,.147,.310,.502,.663,.399,.445,.363,.382,.454,.042,59,.243,228,.849,.256,.425
Indiana Pacers,4420,.443,14.0,.660,.276,.131,.093,.160,.340,.502,.592,.488,.428,.406,.328,.489,.045,64,.261,214,.868,.254,.356
Los Angeles Clippers,4610,.432,13.3,.720,.258,.160,.134,.168,.280,.458,.622,.405,.372,.323,.365,.485,.042,61,.233,207,.799,.227,.314
Los Angeles Lakers,4560,.481,13.1,.679,.314,.136,.092,.138,.321,.546,.705,.404,.377,.432,.345,.552,.066,102,.257,272,.863,.214,.434
Memphis Grizzlies,4420,.437,13.7,.662,.290,.145,.083,.144,.338,.487,.632,.392,.359,.361,.339,.477,.039,51,.262,212,.832,.242,.365
Miami Heat,4105,.431,12.6,.741,.280,.175,.124,.163,.259,.461,.550,.438,.398,.379,.348,.440,.028,35,.259,188,.906,.280,.398
Milwaukee Bucks,3865,.434,13.7,.652,.292,.135,.095,.131,.348,.496,.629,.363,.434,.384,.317,.535,.047,54,.244,191,.879,.279,.389
Minnesota Timberwolves,4080,.472,12.6,.692,.327,.149,.085,.131,.308,.533,.665,.455,.409,.376,.334,.466,.064,80,.277,226,.793,.215,.400
New Orleans Pelicans,4635,.438,13.3,.677,.282,.173,.099,.123,.323,.483,.663,.352,.369,.346,.344,.532,.050,78,.246,252,.883,.216,.339
New York Knicks,4105,.454,12.4,.701,.331,.155,.085,.130,.299,.497,.595,.429,.419,.381,.354,.450,.049,64,.290,225,.799,.221,.479
Oklahoma City Thunder,4635,.449,12.1,.711,.312,.191,.101,.107,.289,.491,.646,.361,.363,.393,.346,.451,.053,79,.272,265,.838,.263,.354
Orlando Magic,4320,.442,12.7,.726,.305,.156,.114,.152,.274,.485,.624,.402,.360,.386,.329,.489,.065,78,.246,218,.870,.217,.352
Philadelphia 76ers,4420,.457,13.1,.702,.290,.156,.105,.151,.298,.503,.648,.406,.414,.384,.349,.467,.049,72,.254,238,.844,.199,.411
Phoenix Suns,4395,.453,13.3,.710,.284,.140,.131,.154,.290,.482,.606,.369,.438,.393,.381,.481,.035,52,.250,221,.851,.196,.456
Portland Trail Blazers,4635,.460,13.1,.699,.298,.157,.105,.141,.301,.499,.603,.432,.418,.408,.369,.434,.051,75,.249,227,.777,.200,.382
Sacramento Kings,4395,.457,14.2,.652,.231,.179,.085,.159,.348,.507,.670,.477,.400,.361,.364,.538,.049,64,.209,189,.812,.264,.415
San Antonio Spurs,4320,.451,13.4,.693,.277,.164,.096,.158,.307,.498,.599,.428,.444,.426,.344,.511,.052,68,.244,197,.822,.274,.328
Toronto Raptors,4105,.458,13.3,.657,.299,.165,.078,.115,.343,.513,.641,.404,.376,.429,.353,.522,.061,76,.267,206,.852,.230,.373
Utah Jazz,4560,.423,12.6,.724,.307,.163,.097,.158,.276,.451,.558,.341,.349,.417,.350,.443,.044,59,.265,210,.788,.176,.408
Washington Wizards,3890,.460,13.7,.680,.275,.147,.105,.156,.320,.499,.621,.421,.447,.392,.377,.487,.042,53,.251,189,.840,.174,.440
