team_name,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.2,66,15,66,15,11.59,-0.21,11.39,115.7,104.1,99.7,.259,.358,.598,.564,13.2,22.7,.205,.486,13.5,74.8,.200
San Antonio Spurs,29.6,61,20,59,22,7.33,-0.11,7.22,111.2,103.4,94.2,.265,.281,.564,.525,12.6,23.9,.211,.491,13.4,77.6,.193
Houston Rockets,27.4,54,27,54,27,5.78,0.09,5.87,114.6,108.9,100.0,.305,.461,.583,.544,13.3,24.5,.234,.519,13.2,75.8,.195
Los Angeles Clippers,30.0,50,31,51,30,4.10,0.18,4.28,112.5,108.3,96.2,.312,.329,.574,.537,12.1,21.5,.233,.505,12.2,76.9,.212
Utah Jazz,26.8,50,31,52,29,3.94,-0.02,3.92,109.6,105.3,91.6,.288,.327,.562,.526,13.2,23.2,.216,.493,11.7,79.1,.195
Toronto Raptors,26.1,50,31,51,30,4.07,-0.59,3.49,112.3,108.0,94.8,.295,.288,.561,.517,11.8,24.9,.235,.508,13.5,76.3,.223
Cleveland Cavaliers,29.2,51,30,49,32,3.41,-0.37,3.04,113.8,110.3,96.3,.274,.398,.581,.548,12.5,22.0,.205,.516,11.5,75.8,.175
Boston Celtics,25.9,52,29,47,34,2.44,-0.38,2.07,111.1,108.6,96.8,.273,.393,.567,.525,12.3,21.1,.220,.503,12.5,75.3,.224
Washington Wizards,26.0,49,32,46,35,1.93,-0.46,1.46,111.2,109.3,97.4,.255,.284,.565,.528,12.8,24.1,.200,.524,13.8,75.6,.215
Oklahoma City Thunder,24.6,47,34,43,38,0.84,0.38,1.22,108.4,107.6,97.7,.297,.296,.540,.500,13.2,28.0,.221,.511,12.5,78.9,.217
Memphis Grizzlies,29.5,43,38,42,39,0.58,0.51,1.09,107.7,107.1,92.3,.280,.317,.536,.492,12.1,24.6,.219,.506,13.6,77.5,.256
Miami Heat,26.5,40,41,43,38,0.98,-0.30,0.68,107.7,106.7,95.2,.253,.315,.541,.512,12.3,24.1,.178,.496,12.6,76.3,.221
Denver Nuggets,25.3,39,42,42,39,0.44,0.18,0.62,113.4,112.9,98.2,.275,.329,.568,.530,13.2,27.5,.213,.533,10.9,78.6,.195
Charlotte Hornets,26.5,36,46,42,40,0.20,-0.26,-0.06,108.8,108.6,95.7,.279,.335,.547,.501,10.7,19.9,.227,.524,12.1,79.6,.164
Portland Trail Blazers,24.8,41,40,39,42,-0.49,0.32,-0.17,110.4,110.9,96.6,.276,.322,.559,.519,12.3,22.9,.216,.509,11.6,76.8,.242
Milwaukee Bucks,25.6,42,39,41,40,0.04,-0.30,-0.26,109.2,109.2,94.5,.275,.290,.565,.528,13.2,21.5,.211,.518,13.7,75.4,.215
Chicago Bulls,26.9,40,41,40,41,-0.05,-0.30,-0.35,107.4,107.4,95.2,.259,.255,.530,.487,12.3,27.0,.207,.509,12.3,76.7,.169
Minnesota Timberwolves,24.0,31,50,38,43,-1.06,0.42,-0.65,110.8,111.9,94.6,.288,.249,.555,.510,12.8,27.3,.231,.534,13.3,76.0,.213
Indiana Pacers,27.0,41,40,39,42,-0.44,-0.40,-0.84,108.5,109.0,96.0,.261,.272,.557,.516,12.8,21.2,.212,.512,13.5,75.4,.225
Atlanta Hawks,27.9,43,38,39,42,-0.64,-0.37,-1.01,105.0,105.6,97.5,.295,.308,.541,.504,14.1,23.7,.215,.506,13.8,76.1,.179
Detroit Pistons,25.4,37,44,37,44,-1.09,-0.10,-1.19,106.0,107.1,94.9,.217,.262,.522,.493,10.9,24.0,.157,.516,12.1,81.2,.197
New Orleans Pelicans,25.7,33,48,35,46,-2.16,0.42,-1.74,105.3,107.5,98.0,.256,.309,.540,.504,11.7,18.6,.192,.509,12.3,76.8,.179
Dallas Mavericks,27.7,32,49,32,49,-3.05,0.40,-2.65,105.6,108.9,92.2,.222,.365,.541,.505,11.6,18.2,.178,.531,14.4,77.8,.218
Sacramento Kings,27.9,32,49,31,50,-3.68,0.53,-3.15,107.3,111.1,95.0,.285,.293,.556,.516,13.7,21.0,.221,.527,13.0,76.4,.227
New York Knicks,27.3,30,51,31,50,-3.73,-0.13,-3.85,107.6,111.4,96.0,.237,.279,.533,.495,12.4,26.4,.187,.511,11.7,74.2,.215
Phoenix Suns,25.0,24,58,27,55,-5.63,0.50,-5.14,106.6,112.2,100.3,.297,.256,.538,.493,13.4,26.1,.231,.525,13.1,76.4,.264
Philadelphia 76ers,24.6,28,53,26,55,-5.75,-0.09,-5.85,103.0,108.8,98.6,.259,.351,.539,.501,15.0,22.2,.200,.512,13.4,75.5,.234
Los Angeles Lakers,25.1,26,55,24,57,-6.78,0.45,-6.32,106.2,113.1,98.4,.260,.296,.538,.501,13.5,25.1,.196,.542,13.0,75.9,.213
Brooklyn Nets,26.0,20,61,25,56,-6.33,-0.02,-6.35,104.4,110.7,101.3,.290,.371,.552,.509,14.7,19.6,.229,.513,11.6,76.2,.213
Orlando Magic,25.3,28,53,23,58,-6.70,-0.02,-6.73,103.6,110.5,96.8,.246,.300,.523,.488,12.1,21.6,.184,.524,12.0,77.4,.202
