Visitor,Home,Prediction,Result,Prediction_Outcome
Philadelphia 76ers,Boston Celtics,,,
Cleveland Cavaliers,Brooklyn Nets,,,
Memphis Grizzlies,Golden State Warriors,,,
Miami Heat,Los Angeles Lakers,,,
New York Knicks,Milwaukee Bucks,,,
Houston Rockets,Orlando Magic,,,
Los Angeles Clippers,Sacramento Kings,,,
Minnesota Timberwolves,Washington Wizards,,,
Philadelphia 76ers,Boston Celtics,,,
Cleveland Cavaliers,Brooklyn Nets,,,
Memphis Grizzlies,Golden State Warriors,,,
Miami Heat,Los Angeles Lakers,,,
New York Knicks,Milwaukee Bucks,,,
Houston Rockets,Orlando Magic,,,
Los Angeles Clippers,Sacramento Kings,,,
Minnesota Timberwolves,Washington Wizards,,,
