Visitor,Home,Prediction,Result,Prediction_Outcome
Charlotte Hornets,Boston Celtics,,,
Milwaukee Bucks,Chicago Bulls,,,
New Orleans Pelicans,Houston Rockets,,,
Sacramento Kings,Memphis Grizzlies,,,
Los Angeles Clippers,Miami Heat,,,
Brooklyn Nets,Orlando Magic,,,
Los Angeles Lakers,Philadelphia 76ers,,,
Atlanta Hawks,Toronto Raptors,,,
Dallas Mavericks,Utah Jazz,,,
Detroit Pistons,Washington Wizards,,,
Charlotte Hornets,Boston Celtics,,,
Milwaukee Bucks,Chicago Bulls,,,
New Orleans Pelicans,Houston Rockets,,,
Sacramento Kings,Memphis Grizzlies,,,
Los Angeles Clippers,Miami Heat,,,
Brooklyn Nets,Orlando Magic,,,
Los Angeles Lakers,Philadelphia 76ers,,,
Atlanta Hawks,Toronto Raptors,,,
Dallas Mavericks,Utah Jazz,,,
Detroit Pistons,Washington Wizards,,,
