team_name,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_pts_per_g
Atlanta Hawks,104,249,.418,21,61,.344,83,188,.441,37,52,.712,22,95,117,67,33,15,58,74,266,88.7
Detroit Pistons,143,354,.404,22,83,.265,121,271,.446,55,70,.786,46,132,178,77,32,16,45,71,363,90.8
Los Angeles Clippers,103,242,.426,16,52,.308,87,190,.458,57,76,.750,26,109,135,55,23,7,53,89,279,93.0
Utah Jazz,138,318,.434,34,89,.382,104,229,.454,71,84,.845,34,126,160,74,25,19,53,76,381,95.3
San Antonio Spurs,175,397,.441,39,126,.310,136,271,.502,89,115,.774,29,166,195,101,36,25,65,103,478,95.6
Toronto Raptors,101,244,.414,25,76,.329,76,168,.452,60,79,.759,28,98,126,51,18,12,40,57,287,95.7
Chicago Bulls,114,260,.438,20,72,.278,94,188,.500,40,54,.741,27,87,114,70,26,16,40,56,288,96.0
Minnesota Timberwolves,102,239,.427,24,74,.324,78,165,.473,60,81,.741,30,78,108,53,29,20,48,71,288,96.0
Charlotte Hornets,110,259,.425,32,81,.395,78,178,.438,39,57,.684,25,115,140,67,10,15,41,71,291,97.0
Miami Heat,140,351,.399,28,80,.350,112,271,.413,87,105,.829,50,140,190,72,23,22,49,84,395,98.8
Cleveland Cavaliers,148,351,.422,38,115,.330,110,236,.466,64,89,.719,55,120,175,80,26,16,64,90,398,99.5
Oklahoma City Thunder,113,265,.426,19,84,.226,94,181,.519,58,81,.716,23,105,128,56,31,15,51,69,303,101.0
Sacramento Kings,179,393,.455,41,115,.357,138,278,.496,114,161,.708,51,157,208,110,42,31,72,121,513,102.6
Philadelphia 76ers,123,272,.452,17,67,.254,106,205,.517,47,66,.712,31,108,139,79,25,16,32,52,310,103.3
Orlando Magic,171,362,.472,31,93,.333,140,269,.520,49,68,.721,45,142,187,99,26,25,49,80,422,105.5
Milwaukee Bucks,152,343,.443,32,104,.308,120,239,.502,90,113,.796,47,149,196,96,38,25,57,75,426,106.5
Boston Celtics,111,268,.414,35,101,.347,76,167,.455,63,83,.759,39,98,137,69,21,10,37,57,320,106.7
Memphis Grizzlies,157,326,.482,29,84,.345,128,242,.529,85,116,.733,39,136,175,92,29,17,59,93,428,107.0
Denver Nuggets,124,278,.446,17,67,.254,107,211,.507,57,72,.792,21,101,122,70,33,22,35,87,322,107.3
New York Knicks,123,269,.457,30,73,.411,93,196,.474,47,66,.712,32,107,139,69,22,12,38,68,323,107.7
Houston Rockets,155,336,.461,47,126,.373,108,210,.514,81,97,.835,41,120,161,73,33,11,50,83,438,109.5
Los Angeles Lakers,161,343,.469,32,108,.296,129,235,.549,84,113,.743,45,130,175,91,39,22,66,83,438,109.5
Dallas Mavericks,114,243,.469,36,82,.439,78,161,.484,65,86,.756,22,117,139,67,22,11,52,66,329,109.7
New Orleans Pelicans,160,348,.460,37,108,.343,123,240,.513,87,105,.829,37,170,207,101,30,17,65,84,444,111.0
Brooklyn Nets,171,364,.470,37,105,.352,134,259,.517,65,80,.813,48,151,199,109,43,29,66,88,444,111.0
Golden State Warriors,168,374,.449,39,108,.361,129,266,.485,72,95,.758,50,136,186,96,43,19,59,86,447,111.8
Phoenix Suns,159,345,.461,25,87,.287,134,258,.519,105,135,.778,36,149,185,85,30,17,68,90,448,112.0
Indiana Pacers,168,366,.459,43,130,.331,125,236,.530,71,84,.845,46,146,192,94,30,20,63,89,450,112.5
Washington Wizards,83,176,.472,27,57,.474,56,119,.471,33,44,.750,25,74,99,52,22,9,35,45,226,113.0
Portland Trail Blazers,165,362,.456,32,102,.314,133,260,.512,96,124,.774,44,141,185,86,43,18,55,84,458,114.5
