team_name,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pts_per_g
Golden State Warriors,169,348,.486,34,116,.293,135,232,.582,83,102,.814,31,141,172,119,39,17,62,83,455,113.8
Chicago Bulls,126,267,.472,31,73,.425,95,194,.490,58,69,.841,44,116,160,85,22,16,44,57,341,113.7
Cleveland Cavaliers,157,344,.456,52,136,.382,105,208,.505,78,102,.765,45,132,177,90,32,16,53,85,444,111.0
Indiana Pacers,168,366,.459,34,89,.382,134,277,.484,70,92,.761,41,136,177,105,36,27,59,81,440,110.0
Oklahoma City Thunder,124,285,.435,20,69,.290,104,216,.481,61,81,.753,38,118,156,61,33,12,52,69,329,109.7
Portland Trail Blazers,160,344,.465,41,108,.380,119,236,.504,77,96,.802,25,134,159,86,31,19,61,99,438,109.5
Boston Celtics,125,246,.508,34,86,.395,91,160,.569,41,59,.695,19,106,125,83,23,21,44,71,325,108.3
Houston Rockets,154,326,.472,50,136,.368,104,190,.547,75,104,.721,35,123,158,96,26,8,58,91,433,108.3
Atlanta Hawks,119,252,.472,28,76,.368,91,176,.517,58,88,.659,37,106,143,83,35,20,46,53,324,108.0
Denver Nuggets,108,264,.409,23,69,.333,85,195,.436,83,107,.776,38,127,165,51,19,17,50,61,322,107.3
Los Angeles Clippers,111,254,.437,20,72,.278,91,182,.500,76,104,.731,34,107,141,50,26,12,37,62,318,106.0
Minnesota Timberwolves,116,236,.492,25,60,.417,91,176,.517,60,83,.723,34,98,132,68,22,14,46,70,317,105.7
San Antonio Spurs,188,418,.450,44,104,.423,144,314,.459,106,123,.862,54,169,223,108,39,28,59,101,526,105.2
Brooklyn Nets,151,364,.415,41,143,.287,110,221,.498,73,89,.820,54,132,186,79,38,16,65,79,416,104.0
Dallas Mavericks,112,268,.418,37,107,.346,75,161,.466,50,62,.806,28,97,125,56,27,13,38,65,311,103.7
Los Angeles Lakers,152,349,.436,34,118,.288,118,231,.511,75,92,.815,44,123,167,71,39,15,75,96,413,103.3
New Orleans Pelicans,153,360,.425,21,89,.236,132,271,.487,81,105,.771,33,137,170,97,43,21,49,89,408,102.0
Toronto Raptors,117,264,.443,11,50,.220,106,214,.495,60,72,.833,43,102,145,45,24,12,38,70,305,101.7
Milwaukee Bucks,158,358,.441,25,87,.287,133,271,.491,65,79,.823,40,141,181,100,37,19,50,87,406,101.5
Miami Heat,153,349,.438,38,99,.384,115,250,.460,62,91,.681,39,146,185,89,24,26,61,90,406,101.5
Washington Wizards,78,180,.433,11,45,.244,67,135,.496,35,43,.814,20,60,80,44,22,8,33,43,202,101.0
Sacramento Kings,181,405,.447,36,113,.319,145,292,.497,106,135,.785,42,161,203,108,32,20,77,122,504,100.8
Charlotte Hornets,107,260,.412,23,77,.299,84,183,.459,65,81,.802,30,108,138,69,23,25,27,59,302,100.7
Phoenix Suns,150,345,.435,22,82,.268,128,263,.487,80,115,.696,38,141,179,73,38,12,66,117,402,100.5
Detroit Pistons,163,356,.458,24,74,.324,139,282,.493,49,69,.710,43,156,199,86,31,13,53,65,399,99.8
Memphis Grizzlies,139,328,.424,39,104,.375,100,224,.446,81,108,.750,41,123,164,72,35,19,61,103,398,99.5
New York Knicks,107,249,.430,22,70,.314,85,179,.475,52,74,.703,27,99,126,59,16,19,43,67,288,96.0
Utah Jazz,138,306,.451,36,99,.364,102,207,.493,69,87,.793,28,132,160,73,26,23,57,79,381,95.3
Orlando Magic,147,360,.408,28,96,.292,119,264,.451,58,83,.699,53,124,177,90,26,18,51,66,380,95.0
Philadelphia 76ers,104,246,.423,21,63,.333,83,183,.454,41,56,.732,16,108,124,65,19,23,50,62,270,90.0
