Visitor,Home,Prediction,Result,Prediction_Outcome
Milwaukee Bucks,Indiana Pacers
New York Knicks,Los Angeles Lakers
Cleveland Cavaliers,San Antonio Spurs
Houston Rockets,Utah Jazz
Memphis Grizzlies,Washington Wizards
