Visitor,Home,Prediction,Result,Prediction_Outcome
Chicago Bulls,Denver Nuggets
Golden State Warriors,Miami Heat
Detroit Pistons,Milwaukee Bucks
Sacramento Kings,New Orleans Pelicans
Atlanta Hawks,Washington Wizards
