Visitor,Home,Prediction,Result,Prediction_Outcome
Utah Jazz,Boston Celtics,,,
Charlotte Hornets,Brooklyn Nets,,,
Milwaukee Bucks,Golden State Warriors,,,
Memphis Grizzlies,Houston Rockets,,,
New York Knicks,Indiana Pacers,,,
Portland Trail Blazers,Los Angeles Clippers,,,
Los Angeles Lakers,Miami Heat,,,
Denver Nuggets,Minnesota Timberwolves,,,
Detroit Pistons,New Orleans Pelicans,,,
Philadelphia 76ers,Oklahoma City Thunder,,,
Phoenix Suns,Orlando Magic,,,
Sacramento Kings,San Antonio Spurs,,,
Cleveland Cavaliers,Toronto Raptors,,,
