Visitor,Home,Prediction,Result,Prediction_Outcome
Cleveland Cavaliers,Atlanta Hawks
Phoenix Suns,Brooklyn Nets
Toronto Raptors,Charlotte Hornets
Dallas Mavericks,Golden State Warriors
Detroit Pistons,Houston Rockets
Chicago Bulls,Indiana Pacers
Los Angeles Lakers,Memphis Grizzlies
Boston Celtics,New Orleans Pelicans
Sacramento Kings,Orlando Magic
Utah Jazz,Philadelphia 76ers
Denver Nuggets,San Antonio Spurs
Miami Heat,Washington Wizards
