Visitor,Home,Prediction,Result,Prediction_Outcome
Toronto Raptors,Cleveland Cavaliers
Dallas Mavericks,Houston Rockets
Phoenix Suns,Indiana Pacers
Washington Wizards,Milwaukee Bucks
Sacramento Kings,Minnesota Timberwolves
Philadelphia 76ers,New York Knicks
Miami Heat,Orlando Magic
Brooklyn Nets,San Antonio Spurs
New Orleans Pelicans,Utah Jazz
