Visitor,Home,Prediction,Result,Prediction_Outcome
Charlotte Hornets,Atlanta Hawks
Indiana Pacers,Cleveland Cavaliers
Houston Rockets,Milwaukee Bucks
Dallas Mavericks,Philadelphia 76ers
Los Angeles Clippers,Utah Jazz
New Orleans Pelicans,Washington Wizards
