Visitor,Home,Prediction,Result,Prediction_Outcome
Oklahoma City Thunder,Atlanta Hawks
Charlotte Hornets,Cleveland Cavaliers
Chicago Bulls,Dallas Mavericks
Boston Celtics,Denver Nuggets
Sacramento Kings,Golden State Warriors
Indiana Pacers,Miami Heat
New Orleans Pelicans,Minnesota Timberwolves
Orlando Magic,New York Knicks
Toronto Raptors,Philadelphia 76ers
Houston Rockets,Phoenix Suns
Los Angeles Lakers,San Antonio Spurs
