Visitor,Home,Prediction,Result,Prediction_Outcome
Philadelphia 76ers,Atlanta Hawks
Charlotte Hornets,Denver Nuggets
Houston Rockets,Detroit Pistons
Phoenix Suns,Golden State Warriors
Sacramento Kings,Indiana Pacers
Oklahoma City Thunder,Memphis Grizzlies
Portland Trail Blazers,Milwaukee Bucks
Cleveland Cavaliers,Minnesota Timberwolves
Dallas Mavericks,Orlando Magic
Los Angeles Clippers,San Antonio Spurs
Toronto Raptors,Washington Wizards
