Visitor,Home,Prediction,Result,Prediction_Outcome
Indiana Pacers,Brooklyn Nets
New Orleans Pelicans,Chicago Bulls
Orlando Magic,Charlotte Hornets
Minnesota Timberwolves,Golden State Warriors
Toronto Raptors,Los Angeles Clippers
Memphis Grizzlies,Miami Heat
Atlanta Hawks,Milwaukee Bucks
New York Knicks,Sacramento Kings
Philadelphia 76ers,Utah Jazz
Boston Celtics,Washington Wizards
