Visitor,Home,Prediction,Result,Prediction_Outcome
Indiana Pacers,Chicago Bulls
Atlanta Hawks,Cleveland Cavaliers
Minnesota Timberwolves,Dallas Mavericks
Charlotte Hornets,Golden State Warriors
Phoenix Suns,Los Angeles Clippers
Detroit Pistons,Memphis Grizzlies
Brooklyn Nets,Portland Trail Blazers
San Antonio Spurs,Sacramento Kings
Utah Jazz,Toronto Raptors
Orlando Magic,Washington Wizards
