Visitor,Home,Prediction,Result,Prediction_Outcome
Chicago Bulls,Cleveland Cavaliers
Miami Heat,Indiana Pacers
Los Angeles Clippers,Los Angeles Lakers
Philadelphia 76ers,New York Knicks
Houston Rockets,Oklahoma City Thunder
Utah Jazz,Sacramento Kings
Golden State Warriors,San Antonio Spurs
