Visitor,Home,Prediction,Result,Prediction_Outcome
Sacramento Kings,Dallas Mavericks
San Antonio Spurs,Golden State Warriors
Los Angeles Lakers,Memphis Grizzlies
Oklahoma City Thunder,Milwaukee Bucks
Charlotte Hornets,Portland Trail Blazers
Orlando Magic,Toronto Raptors
