Visitor,Home,Prediction,Result,Prediction_Outcome
Charlotte Hornets,Dallas Mavericks
Washington Wizards,Detroit Pistons
Golden State Warriors,Indiana Pacers
Boston Celtics,Los Angeles Lakers
Atlanta Hawks,Milwaukee Bucks
Cleveland Cavaliers,New York Knicks
Denver Nuggets,Oklahoma City Thunder
Philadelphia 76ers,Orlando Magic
Memphis Grizzlies,Portland Trail Blazers
