Visitor,Home,Prediction,Result,Prediction_Outcome
Los Angeles Lakers,Chicago Bulls
Golden State Warriors,Los Angeles Clippers
Cleveland Cavaliers,Miami Heat
Washington Wizards,New York Knicks
Oklahoma City Thunder,San Antonio Spurs
