Visitor,Home,Prediction,Result,Prediction_Outcome
Minnesota Timberwolves,Boston Celtics
Brooklyn Nets,Cleveland Cavaliers
Los Angeles Clippers,Denver Nuggets
Toronto Raptors,Detroit Pistons
Oklahoma City Thunder,Los Angeles Lakers
Chicago Bulls,Memphis Grizzlies
Washington Wizards,Miami Heat
Utah Jazz,Orlando Magic
Charlotte Hornets,Philadelphia 76ers
Portland Trail Blazers,San Antonio Spurs
