Visitor,Home,Prediction,Result,Prediction_Outcome
Memphis Grizzlies,Detroit Pistons
Orlando Magic,Houston Rockets
Charlotte Hornets,Los Angeles Clippers
Milwaukee Bucks,New Orleans Pelicans
San Antonio Spurs,New York Knicks
