Visitor,Home,Prediction,Result,Prediction_Outcome
Los Angeles Clippers,Dallas Mavericks
Oklahoma City Thunder,Denver Nuggets
San Antonio Spurs,Indiana Pacers
New York Knicks,Miami Heat
Brooklyn Nets,Milwaukee Bucks
Atlanta Hawks,Minnesota Timberwolves
Utah Jazz,New Orleans Pelicans
Golden State Warriors,Philadelphia 76ers
Orlando Magic,Washington Wizards
