Visitor,Home,Prediction,Result,Prediction_Outcome
New Orleans Pelicans,Atlanta Hawks
Chicago Bulls,Boston Celtics
Golden State Warriors,Charlotte Hornets
Phoenix Suns,Denver Nuggets
Milwaukee Bucks,Detroit Pistons
Los Angeles Clippers,Houston Rockets
Orlando Magic,Indiana Pacers
Minnesota Timberwolves,Los Angeles Lakers
New York Knicks,Oklahoma City Thunder
Memphis Grizzlies,Portland Trail Blazers
Sacramento Kings,San Antonio Spurs
Dallas Mavericks,Toronto Raptors
