Visitor,Home,Prediction,Result,Prediction_Outcome
Philadelphia 76ers,Atlanta Hawks
Brooklyn Nets,Chicago Bulls
Boston Celtics,Charlotte Hornets
New Orleans Pelicans,Dallas Mavericks
Miami Heat,Denver Nuggets
Houston Rockets,Golden State Warriors
Los Angeles Clippers,Indiana Pacers
Portland Trail Blazers,Minnesota Timberwolves
Washington Wizards,Orlando Magic
New York Knicks,San Antonio Spurs
