Visitor,Home,Prediction,Result,Prediction_Outcome
Sacramento Kings,Brooklyn Nets
Milwaukee Bucks,Charlotte Hornets
Washington Wizards,Houston Rockets
Chicago Bulls,Indiana Pacers
Utah Jazz,Los Angeles Clippers
Orlando Magic,Miami Heat
