Visitor,Home,Prediction,Result,Prediction_Outcome
Detroit Pistons,Chicago Bulls
New Orleans Pelicans,Cleveland Cavaliers
Utah Jazz,Indiana Pacers
San Antonio Spurs,Los Angeles Clippers
Atlanta Hawks,New York Knicks
