Visitor,Home,Prediction,Result,Prediction_Outcome
San Antonio Spurs,Boston Celtics
Chicago Bulls,Brooklyn Nets
Golden State Warriors,Detroit Pistons
Toronto Raptors,Los Angeles Lakers
Miami Heat,New York Knicks
Orlando Magic,Phoenix Suns
Minnesota Timberwolves,Portland Trail Blazers
Memphis Grizzlies,Sacramento Kings
