Visitor,Home,Prediction,Result,Prediction_Outcome
Brooklyn Nets,Charlotte Hornets
Golden State Warriors,Dallas Mavericks
Denver Nuggets,Houston Rockets
Portland Trail Blazers,Indiana Pacers
Los Angeles Clippers,Milwaukee Bucks
Atlanta Hawks,Orlando Magic
Memphis Grizzlies,Philadelphia 76ers
Detroit Pistons,Sacramento Kings
