Visitor,Home,Prediction,Result,Prediction_Outcome
Washington Wizards,Brooklyn Nets
Atlanta Hawks,Chicago Bulls
Indiana Pacers,Charlotte Hornets
Minnesota Timberwolves,Denver Nuggets
Philadelphia 76ers,Detroit Pistons
Golden State Warriors,Houston Rockets
Portland Trail Blazers,Memphis Grizzlies
Los Angeles Clippers,Sacramento Kings
