Visitor,Home,Prediction,Result,Prediction_Outcome
Brooklyn Nets,Atlanta Hawks
Philadelphia 76ers,Charlotte Hornets
Golden State Warriors,Dallas Mavericks
Los Angeles Clippers,Denver Nuggets
Miami Heat,Detroit Pistons
Washington Wizards,Memphis Grizzlies
Orlando Magic,Milwaukee Bucks
Utah Jazz,Phoenix Suns
New Orleans Pelicans,Portland Trail Blazers
Boston Celtics,Toronto Raptors
