Visitor,Home,Prediction,Result,Prediction_Outcome
Philadelphia 76ers,Brooklyn Nets
Atlanta Hawks,Detroit Pistons
Cleveland Cavaliers,Golden State Warriors
Boston Celtics,Indiana Pacers
Orlando Magic,Los Angeles Lakers
Minnesota Timberwolves,Milwaukee Bucks
Memphis Grizzlies,New Orleans Pelicans
Utah Jazz,Oklahoma City Thunder
Denver Nuggets,Sacramento Kings
Phoenix Suns,San Antonio Spurs
Chicago Bulls,Washington Wizards
