Visitor,Home,Prediction,Result,Prediction_Outcome
Indiana Pacers,Boston Celtics
Detroit Pistons,Charlotte Hornets
Sacramento Kings,Houston Rockets
New Orleans Pelicans,Los Angeles Lakers
Chicago Bulls,Milwaukee Bucks
Toronto Raptors,Minnesota Timberwolves
Brooklyn Nets,New York Knicks
Dallas Mavericks,Oklahoma City Thunder
San Antonio Spurs,Orlando Magic
Los Angeles Clippers,Portland Trail Blazers
Denver Nuggets,Utah Jazz
Philadelphia 76ers,Washington Wizards
