Visitor,Home,Prediction,Result,Prediction_Outcome
Detroit Pistons,Atlanta Hawks
Orlando Magic,Charlotte Hornets
Los Angeles Lakers,Dallas Mavericks
New Orleans Pelicans,Denver Nuggets
Utah Jazz,Golden State Warriors
Boston Celtics,Memphis Grizzlies
San Antonio Spurs,Minnesota Timberwolves
Brooklyn Nets,Oklahoma City Thunder
Phoenix Suns,Philadelphia 76ers
Chicago Bulls,Portland Trail Blazers
Milwaukee Bucks,Toronto Raptors
Cleveland Cavaliers,Washington Wizards
