Visitor,Home,Prediction,Result,Prediction_Outcome
Detroit Pistons,Atlanta Hawks
Minnesota Timberwolves,Charlotte Hornets
Chicago Bulls,Cleveland Cavaliers
Denver Nuggets,Golden State Warriors
Indiana Pacers,Houston Rockets
Boston Celtics,Los Angeles Clippers
Dallas Mavericks,Memphis Grizzlies
Toronto Raptors,Milwaukee Bucks
New Orleans Pelicans,New York Knicks
Los Angeles Lakers,Phoenix Suns
Sacramento Kings,Portland Trail Blazers
Philadelphia 76ers,Washington Wizards
