Visitor,Home,Prediction,Result,Prediction_Outcome
Orlando Magic,Boston Celtics
Phoenix Suns,Charlotte Hornets
Atlanta Hawks,Cleveland Cavaliers
Houston Rockets,Denver Nuggets
Dallas Mavericks,Detroit Pistons
Indiana Pacers,Los Angeles Clippers
Utah Jazz,Miami Heat
Milwaukee Bucks,Portland Trail Blazers
Memphis Grizzlies,San Antonio Spurs
Brooklyn Nets,Toronto Raptors
