Visitor,Home,Prediction,Result,Prediction_Outcome
Los Angeles Clippers,Boston Celtics
Los Angeles Lakers,Brooklyn Nets
Philadelphia 76ers,Cleveland Cavaliers
Dallas Mavericks,Indiana Pacers
Detroit Pistons,Miami Heat
Minnesota Timberwolves,New Orleans Pelicans
Oklahoma City Thunder,Phoenix Suns
Memphis Grizzlies,San Antonio Spurs
Houston Rockets,Washington Wizards
