Visitor,Home,Prediction,Result,Prediction_Outcome
Atlanta Hawks,Boston Celtics
Memphis Grizzlies,Brooklyn Nets
Washington Wizards,Chicago Bulls
San Antonio Spurs,Charlotte Hornets
Dallas Mavericks,Denver Nuggets
New Orleans Pelicans,Detroit Pistons
Miami Heat,Golden State Warriors
Houston Rockets,Orlando Magic
Los Angeles Clippers,Portland Trail Blazers
Philadelphia 76ers,Toronto Raptors
