Visitor,Home,Prediction,Result,Prediction_Outcome
San Antonio Spurs,Denver Nuggets
Chicago Bulls,Miami Heat
Los Angeles Lakers,Minnesota Timberwolves
Golden State Warriors,New Orleans Pelicans
Toronto Raptors,New York Knicks
Phoenix Suns,Oklahoma City Thunder
Utah Jazz,Washington Wizards
