Visitor,Home,Prediction,Result,Prediction_Outcome
Phoenix Suns,Boston Celtics
Miami Heat,Brooklyn Nets
Dallas Mavericks,Charlotte Hornets
Denver Nuggets,Cleveland Cavaliers
Orlando Magic,Detroit Pistons
Chicago Bulls,Los Angeles Clippers
Houston Rockets,Memphis Grizzlies
New Orleans Pelicans,Portland Trail Blazers
Philadelphia 76ers,San Antonio Spurs
