Visitor,Home,Prediction,Result,Prediction_Outcome
Utah Jazz,Charlotte Hornets,,,
San Antonio Spurs,Dallas Mavericks,,,
Indiana Pacers,Denver Nuggets,,,
Atlanta Hawks,Houston Rockets,,,
Milwaukee Bucks,Los Angeles Clippers,,,
Portland Trail Blazers,New Orleans Pelicans,,,
Phoenix Suns,New York Knicks,,,
