Visitor,Home,Prediction,Result,Prediction_Outcome
Orlando Magic,Boston Celtics
Chicago Bulls,Charlotte Hornets
Los Angeles Clippers,Dallas Mavericks
Golden State Warriors,Denver Nuggets
Minnesota Timberwolves,Oklahoma City Thunder
Sacramento Kings,Philadelphia 76ers
Atlanta Hawks,Phoenix Suns
Detroit Pistons,Portland Trail Blazers
Miami Heat,Toronto Raptors
