Visitor,Home,Prediction,Result,Prediction_Outcome
Denver Nuggets,Houston Rockets
Utah Jazz,Los Angeles Lakers
Minnesota Timberwolves,New York Knicks
New Orleans Pelicans,Phoenix Suns
