Visitor,Home,Prediction,Result,Prediction_Outcome
Detroit Pistons,Boston Celtics
San Antonio Spurs,Brooklyn Nets
Chicago Bulls,Charlotte Hornets
Memphis Grizzlies,Houston Rockets
Orlando Magic,Los Angeles Clippers
Atlanta Hawks,Miami Heat
Dallas Mavericks,Milwaukee Bucks
Philadelphia 76ers,Minnesota Timberwolves
Toronto Raptors,Utah Jazz
Los Angeles Lakers,Washington Wizards
