Visitor,Home,Prediction,Result,Prediction_Outcome
Dallas Mavericks,Cleveland Cavaliers
Sacramento Kings,Detroit Pistons
Indiana Pacers,Los Angeles Lakers
Brooklyn Nets,Miami Heat
Milwaukee Bucks,New York Knicks
Toronto Raptors,Phoenix Suns
