Visitor,Home,Prediction,Result,Prediction_Outcome
Chicago Bulls,Detroit Pistons
Utah Jazz,Golden State Warriors
Phoenix Suns,Houston Rockets
Brooklyn Nets,Indiana Pacers
Portland Trail Blazers,Memphis Grizzlies
