Visitor,Home,Prediction,Result,Prediction_Outcome
Miami Heat,Brooklyn Nets
Golden State Warriors,Memphis Grizzlies
Utah Jazz,New Orleans Pelicans
Dallas Mavericks,New York Knicks
Oklahoma City Thunder,Sacramento Kings
Minnesota Timberwolves,Washington Wizards
