Visitor,Home,Prediction,Result,Prediction_Outcome
Portland Trail Blazers,Dallas Mavericks
Boston Celtics,Milwaukee Bucks
Chicago Bulls,New Orleans Pelicans
Golden State Warriors,New York Knicks
Charlotte Hornets,Philadelphia 76ers
Sacramento Kings,Utah Jazz
Brooklyn Nets,Washington Wizards
