Visitor,Home,Prediction,Result,Prediction_Outcome
Memphis Grizzlies,Dallas Mavericks
Cleveland Cavaliers,Detroit Pistons
Chicago Bulls,Golden State Warriors
Toronto Raptors,Indiana Pacers
Washington Wizards,Los Angeles Lakers
Milwaukee Bucks,Miami Heat
