Visitor,Home,Prediction,Result,Prediction_Outcome
Portland Trail Blazers,Boston Celtics
Denver Nuggets,Los Angeles Lakers
Los Angeles Clippers,Memphis Grizzlies
Charlotte Hornets,Miami Heat
Golden State Warriors,Oklahoma City Thunder
