Visitor,Home,Prediction,Result,Prediction_Outcome
Indiana Pacers,Atlanta Hawks
Memphis Grizzlies,Charlotte Hornets
Brooklyn Nets,Detroit Pistons
Los Angeles Lakers,Golden State Warriors
Boston Celtics,Houston Rockets
Chicago Bulls,Minnesota Timberwolves
Dallas Mavericks,New Orleans Pelicans
Denver Nuggets,Oklahoma City Thunder
Toronto Raptors,Orlando Magic
Miami Heat,Philadelphia 76ers
Phoenix Suns,Utah Jazz
Milwaukee Bucks,Washington Wizards
