Visitor,Home,Prediction,Result,Prediction_Outcome
Indiana Pacers,Chicago Bulls
Brooklyn Nets,Cleveland Cavaliers
Orlando Magic,Dallas Mavericks
Atlanta Hawks,Golden State Warriors
Portland Trail Blazers,Miami Heat
San Antonio Spurs,Milwaukee Bucks
Boston Celtics,Oklahoma City Thunder
Detroit Pistons,Philadelphia 76ers
Los Angeles Clippers,Sacramento Kings
Minnesota Timberwolves,Toronto Raptors
Washington Wizards,Utah Jazz
