Visitor,Home,Prediction,Result,Prediction_Outcome
New York Knicks,Indiana Pacers
Chicago Bulls,Los Angeles Lakers
Denver Nuggets,Memphis Grizzlies
Milwaukee Bucks,Orlando Magic
